,题干,A,B,C,D,E,F,答案
0,进入21世纪以来，（）成为不可阻挡的时代潮流。,和平,发展,合作,共赢,,,ABCD
1,推动建设（）的新型国际关系，是党中央立足时代发展潮流和我国根本利益作出的战略选择。,相互尊重,公平正义,合作共赢,共同发展,,,ABC
2,新型国际关系，“新”的涵义有（）。,和平发展,相互尊重,公平正义,合作共赢,,,BCD
3,中国始终把坚决维护（）作为外交工作的基本出发点和落脚点。,国家主权,安全,发展利益,对外利益,,,ABC
4,推动建立新型国际关系，要按照（）的外交工作布局，发展与各国的友好关系。,大国是关键,周边是首要,发展中国家是基础,多边是舞台,,,ABCD
5,中国秉持（）的全球治理观。,共商,共建,共享,和谐,,,ABC
6,构建人类命运共同体思想，其核心就是建设持久和平、（）的世界,普遍安全,共同繁荣,开放包容,清洁美丽,,,ABCD
7,共建“一带一路”应秉持（）的理念。,和平合作,开放包容,互学互鉴,互利共赢,,,ABCD
8,世界多极化是一个（）过程。,长期的,曲折的,快速的,不可避免的,,,AB
9,经济全球化是一把“双刃剑”，其带来的负面影响有（）。,加剧国际竞争,增加国际风险,冲击国家主权,冲击发展中国家的民族工业,,,ABCD
10,中国实行独立自主的和平外交政策，反对任何国家损害我国的（）。,独立,主权,安全,尊严,,,ABCD
11,在新形势下，各国应树立（）的新安全观。,共同,综合,合作,可持续,,,ABCD
12,改革开放以来，我党发生了新的重大变化，其中包括：,党所处的地位,党所处的环境,党所肩负的历史任务,党的自身状况,,,ABCD
13,尽管共产党的干部队伍总体是好的，但在一些党员和干部中，还存在着不同程度的如下现象。,思想僵化,信念动摇,道德滑坡,组织涣散,,,ABCD
14,我们党必须解决好的两大历史性课题是：,进一步提高领导水平和执政水平,进一步提高组织协调能力,进一步提高拒腐防变和抵御风险的能力,进一步提高社会治理的能力,,,AC
15,在革命、建设、改革的各个历史时期，我们党总是代表：,代表中国先进生产力的发展要求,代表中国先进文化的前进方向,代表社会主义核心价值观的发展方向,代表中国最广大人民的根本利益,,,ABD
16,党的十四届四中全会通过了《中共中央关于加强党的建设几个重大问题的决定》，分析了党的建设面临的形势，指出：“党必须善于在改革开放的新形势下:,认识自己,改变自己,加强自己,提高自己,,,ACD
17,二零零零年五月十四日，江泽民在江苏、浙江、上海党建工作座谈会上，明确提出：“推进党的（）建设，都应贯穿‘三个代表’要求。要把‘三个代表’的要求贯彻落实到党的全部工作中去”。,思想建设,政治建设,组织建设,作风建设,,,ABCD
18,二零零零年六月二十八日，江泽民在中央思想政治工作会议上，提出了“四个如何认识”，实际上深刻揭示了“三个代表”重要思想产生的历史起点和逻辑起点，反映了“三个代表”重要思想提出的时代背景和发展的现实依据。,如何认识社会主义发展的历史进程,如何认识资本主义发展的历史进程,如何认识我国社会主义改革实践过程对人们思想的影响,如何认识当今的国际环境和国际斗争带来的影响,,,ABCD
19,推动我国先进生产力发展和社会全面进步的根本力量的是：,农民,工人,知识分子,新社会阶层,,,ABC
20,我们党代表中国先进生产力发展要求必须履行的重要职责是：,大力推动科技进步和创新,不断用先进科技改造和提高国民经济,不断地提升科技水平和创新模式,努力实现我国生产力发展的跨越,,,ABD
21,发展社会主义先进文化，就是发展面向现代化、面向世界、面向未来的，民族的科学的大众的社会主义文化。江泽民指出，加强文化建设，必须要：,以科学的理论武装人,以正确的舆论引导人,以高尚的精神塑造人,以优秀的作品鼓舞人,,,ABCD
22,引导人们树立中国特色社会主义共同理想，树立正确的世界观、人生观和价值观，建立（）社会主义思想道德体系,与社会主义市场经济相适应,与先进文化思想相结合,与社会主义法律规范相协调,与中华民族传统美德相承接,,,ACD
23,政治问题主要是对人民群众的态度问题、同人民群众的关系问题。()我们党就能获得取之不尽的力量源泉。,一切为了群众,一切相信群众,一切依靠群众,一切支持群众,,,ABC
24,最大多数人的利益是最紧要和最具有决定性的因素，这始终关系（）,人民根本利益的全局,党的执政的全局,国家经济政治文化发展的全局,全国各族人民的团结和社会安定的全局,,,BCD
25,改革越深入，越要正确认识和处理各种利益关系，把()正确地统一和结合起来。只有这样，我们的改革和建设才能始终获得最广泛最可靠的群众基础和力量源泉。,个人利益与集体利益,局部利益与整体利益,当前利益与长远利益,人民利益与社会利益,,,ABC
26,江泽民强调，我们想事情，做工作，想得对不对，做得好不好，根本的衡量尺度，就是(),人民拥护不拥护,人民赞成不赞成,人民高兴不高兴,人民答应不答应,,,ABCD
27,在党的十六大报告中，江泽民把社会主义（）一起确立为社会主义现代化全面发展的基本目标，从而使中国特色社会主义的理论和实践进一步走向成熟和完善。,物质文明,精神文明,政治文明,生态文明,,,ABC
28,发展社会主义民主政治，就是要健全民主制度，丰富民主形式，扩大公民有序的政治参与，保证人民依法实行（），享有广泛的权利和自由。,民主选举,民主决策,民主管理,民主监督,,,ABCD
29,"建设民主政治必须把广大人民群众的积极性和主动性充分调动起来,坚持()，民族区域自治，进一步扩大基层民主。",中国共产党领导的人民代表大会制度,人民代表大会制度,中国共产党领导的多党合作,政治协商制度,,,BCD
30,江泽民在党的十五大报告中明确指出：“依法治国，就是广大人民群众在党的领导下，依照宪法和法律规定，通过各种途径和形式（），保证国家各项工作都依法进行，逐步实现社会主义民主的制度化、法律化,管理国家事务,管理经济文化事业,管理政治事务,管理社会事务,,,ABD
31,江泽民紧紧围绕建设什么样的党、怎样建设党，进行了长期深入的思考。要使党充满（），推进党的建设伟大工程。,凝聚力,战斗力,执行力,创造力,,,ABD
32,坚持党的先进性，要用时代发展的要求审视自己，以改革的精神加强和完善自己，实现（）使党成为始终站在时代前列带领人民团结奋进的坚强领导核心。,坚持党的改革精神和经济发展相统一,坚持马克思主义基本原理和推进理论创新相统一,坚持党的优良传统和弘扬时代精神相统一,坚持增强党的阶级基础和扩大党的群众基础相统一,,,BCD
33,江泽民强调推进党的建设新的伟大工程，重点是加强党的执政能力建设，不断提高科学判断形势的能力，（）能力,应对复杂局面的能力,依法执政的能力,驾驭市场经济的能力,总揽全局的能力,,,ABCD
34,（）把反腐败寓于各项重要政策措施之中，从源头上预防和解决腐败问题。,加强教育,发展民主,健全法制,强化监督,,,ABCD
35,“三个代表”重要思想从（）方面揭示了社会主义制度自我完善和发展的途径。,物质基础,文化支撑,人民利益,社会基础,,,ABD
36,党的领导方式和执政方式要紧密结合人民群众对提高物质文化生活的要求，不断（），努力掌握科学的领导方式。,提高驾驭市场的能力,提高组织协调能力,提高运用民主法制办法开展工作的能力,提高按照科学规律办事的能力,,,ACD
37,科学发展观的集中概括为：（）,第一要义是发展,核心立场是以人为本,基本要求是全面协调可持续,根本方法是统筹兼顾,,,ABCD
38,坚持以人为本，就要坚持（）。,发展为了人民,发展依靠人民,发展成果由人民共享,科学发展,,,ABC
39,全面协调可持续中的“全面”是指发展要有（）。,全面性,整体性,可持续性,持久性,,,AB
40,坚持可持续发展，必须走（）的文明发展道路。,生产发展,生活富裕,政治清明,生态良好,,,ABD
41,以下属于社会主义核心价值观内容的有（）。,富强,民主,爱国,敬业,,,ABCD
42,科学发展观强调，建设生态文明，实质上就是要建设（）社会。,资源节约型,可持续发展型,环境友好型,低碳发展型,,,AC
43,新形势下，党面临的考验有（）。,执政考验,改革开放考验,市场经济考验,外部环境考验,,,ABCD
44,科学发展观最鲜明的精神实质是（）。,解放思想,实事求是,与时俱进,求真务实,,,ABCD
45,发展观是关于发展的（）的总体看法和根本观点。,本质,目的,内涵,要求,,,ABCD
46,科学发展观进一步深化了对（）规律的认识。,共产党执政,社会主义建设,人类社会发展,经济发展,,,ABC
47,党的十七大报告将改革开放以来的经验概括为“十个结合”，以下属于“十个结合”范围的有（）。,把坚持四项基本原则同坚持改革开放结合起来,把提高效率同促进社会公平结合起来,把促进经济发展同维护社会稳定结合起来,把独立自主同参与经济全球化结合起来,,,ABD
48,发展社会主义民主政治，必须要坚持（）的有机统一。,党的领导,人民当家做主,依宪治国,依法治国,,,ABD
49,坚持总体国家安全观，要坚持（）、（）、（）的有机统一。,人民安全,政治安全,制度安全,国家利益至上,,,ABD
50,我们要坚决维护的国家利益包括（）、（）和（）利益,主权,人权,安全,发展,,,ACD
51,坚持总体国家安全观，必须统筹（）。,外部安全和内部安全,国土安全和国民安全,传统安全和非传统安全,自身安全和共同安全,,,ABCD
52, “明者防祸于未萌，智者图患于将来。”这句箴言告诉我们（）的重要性。,风险对冲,战略预判,风险预警,风险控制,,,BC
53,党的十八大以来，习近平着眼()，围绕强军兴军作出一系列重要论述，提出一系列重大战略思想、重大理论观点、重大决策部署，形成了习近平强军思想。,坚持和发展中国特色社会主义,实现社会主义民主,实现中华民族伟大复兴,立足国家安全和发展战略全局,,,ACD
54,党在新时代的强军目标是建设一支（）的人民军队，把人民军队建设成为世界一流军队。,听党指挥,自力更生,能打胜仗,作风优良,,,ACD
55,军队要全面提髙新时代备战打仗能力（）。,有效塑造态势,管控危机,遏制战争,打赢战争,,,ABCD
56,推进强军事业必须坚持（），更加注重聚焦实战、更加注重创新驱动、更加注重体系建设、更加注重集约高效、更加注重军民融合。,政治建军,改革强军,科技兴军,依法治国,,,ABC
57,党的十八大以来，人民军队（），在中国特色强军之路上迈出了坚定步伐，强军事业取得了历史性成就，发生了历史性变革。,重振政治纲纪,重塑组织形态,重整斗争格局,重构建设布局,,,ABCD
58,中国共产党对军队的绝对领导，是包括（）在内的全面领导，涵盖军事、政治、后勤、装备建设各个领域，贯穿于完成各项任务的全过程。,政治领导,思想领导,基层领导,组织领导,,,ABD
59,严守政治纪律和政治规矩，加大从严治党、从严治军力度，确保全军官兵始终在（）上与党中央、中央军委保持高度一致，一切行动听从党中央、中央军委指挥。,政治立场,政治方向,政治原则,政治道路,,,ABCD
60,军民融合发展是兴国之举、强军之策，必须坚持（），形成全要素、多领域、高效益军民融合深度发展格局，构建一体化的国家战略体系和能力。,平战结合,发展和安全兼顾,富国和强军统一,全民皆兵,,,BC
61, 构建一体化的国家战略体系和能力，必须加强集中统一领导，努力形成（）相统一的工作运行体系。,国家主导,需求牵引,社会动员,市场运作,,,ABD
62,推进军政军民团结，要加强国防教育，增强全民国防观念，使（）成为全社会的思想共识和自觉行动。,关心国防,热爱国防,建设国防,保卫国防,,,ABCD
63,我国实行资本主义制度的特别行政区的宪制基础是（）,宪法,基本法,国安法,选举法,,,AB
64, 解决台湾问题、实现祖国完全统一，是（）。,中国共产党矢志不渝的历史任务,是全体中华儿女的共同愿望,是中华民族根本利益所在,对美斗争的必然要求,,,ABC
65,“九二共识”（）,表明大陆与台湾同属一个中国,表明两岸关系不是国与国关系,有助于两岸开展协商对话,有助于祖国和平统一,,,ABCD
66,党的十九大以如椽巨笔书写了民族复兴的“未来简史”，以下说法正确的是(),新时代是坐标,新思想是灵魂,强起来是底色,美起来是根本,,,ABC
67,新时代我国社会主要矛盾已经转化的主要依据是(),经过改革开放40年的发展，我国社会生产力水平总体上显著提高，很多方面进入世界前列,人民群众对于日益增长的“物质文化需要”层次更高，内容更广泛,影响满足人民美好生活需要的因素很多，但主要是发展的不平衡不充分问题,经济建设方面取得了迅猛发展，经济结构不断优化,,,ABC
68,下列关于我国基本国情判断正确的有(),我国是世界上最大发展中国家的国际地位没有变,我国仍处于并将长期处于社会主义初级阶段的基本国情没有变,我国的经济发展已基本达到世界前列,随着我国经济的快速增长，政治地位、文化软实力的不断提高，目前各个方面与发达国家已经没有太大的差距。,,,AB
69,下列对于新时代的理解正确的有(),新时代是我国日益走近世界舞台中央，不断为人类作出更大贡献的时代,新时代是我决胜全面建成小康社会、进而全面建设社会主义现代化强国时代,新时代是全国各族人民团结奋斗、不断创造美好生活、逐步实现全体人民共同富裕的时代,新时代是全体中华儿女齐心同力、奋力实现中华民族伟大复兴中国梦的时代,,,ABCD
70,坚持和发展中国特色社会主义总任务是(),全面深化改革,全面建成小康社会,实现社会主义现代化,实现中华民族伟大复兴,,,CD
71,习近平新时代中国特色社会主义思想是(),是马克思主义中国化的最新成果,是党和人民实践经验和集体智慧的结晶,是中国特色社会主义理论体系的重要组成部分,是全体人民实现中华民族伟大复兴而奋斗的行动指南,,,ABCD
72,中国特色社会主义是具有鲜明()的社会主义,实践特色,理论特色,民族特色,时代特色,,,ABCD
73,党员干部必须增强()，自觉在思想上政治上行动上同党中央保持高度一致。,政治意识,大局意识,看齐意识,核心意识,,,ABCD
74,我们党最鲜明的品格是(),从严管党,从严治党,全面管党,全面治党,,,AB
75,以下对于人民的定位正确的有(),人民是历史的创造者,人民是历史的主宰者,人民是决定党和国家前途命运的根本力量,人民是中国特色社会主义的引领者,,,AC
76,习近平新时代中国特色社会主义思想历史地位是(),马克思主义中国化最新成果,新时代的精神旗帜,实现中华民族伟大复兴的行动指南,改革开放的根本指南,,,ABC
77,（）是中国共产党不可战胜的强大精神力量,敢于斗争,敢于胜利,敢于纠错,敢于挑战,,,AB
78,习近平新时代中国特色社会主义思想的理论特质包括（）,秉持人民至上,彰显历史自觉,坚持实事求是,突出问题导向,,,ABCD
79,新的历史条件下，中国共产党面临新的考验，包括（）,长期执政考验,改革开放考验,市场经济考验,外部环境考验,,,ABCD
80,新的历史条件下，中国共产党面临新的危险，包括（）,精神懈怠危险,能力不足危险,脱离群众危险,消极腐败危险,,,ABCD
81,在（   )等理论著作中，毛泽东科学阐述了新民主主义革命的对象、动力、领导力量、性质和前途等基本问题，提出了新民主主义革命的总路线，,《〈共产党人〉发刊词》,《中国革命和中国共产党》,《新民主主义论》,《论联合政府》,,,ABCD
82,中国共产党在中国革命中战胜敌人的三个主要法宝是（   ）,实事求是,统一战线,武装斗争,党的建设,,,BCD
83,毛泽东思想的活的灵魂，其基本方面有（  ）,群众路线,解放思想,实事求是,独立自主,,,ACD
84,中国革命曾走过很大弯路、遭受严重挫折的重要原因有（  ）。,党处于幼年时期，理论准备和实践经验都不足,把马克思主义教条化,党对于中国的历史和社会状况、中国革命的特点和规律不甚了解,把共产国际决议和苏联经验神圣化,,,ABCD
85,毛泽东在新民主主义革命时期，领导全党纠正或排除的错误有（  ）。,右倾错误,把共产国际决议神圣化,“左”倾错误,把苏联经验教条化,,,ABCD
86,毛泽东思想是在我国（  ）的实践过程中，逐步形成和发展起来的。,社会主义改革,新民主主义革命,社会主义革命,社会主义建设,,,BCD
87,毛泽东认为，中国革命战争在长时期内的主要作战方式是（  ）。,阵地战,游击战,防御战,运动战,,,BD
88,毛泽东规定的军事原则有（  ）。,党指挥枪,三大纪律八项注意,实行政治、经济、军事三大民主,官兵一致、军民一致和瓦解敌军,,,ABCD
89,以下属于毛泽东的哲学著作的是（  ）。,《反对本本主义》,《矛盾论》,《实践论》,《星星之火可以燎原》,,,ABC
90,毛泽东提出，对待敌人的策略有（  ）。,区别对待、分化瓦解,利用矛盾、争取多数、反对少数,各个击破,做到有理、有利、有节,,,ABCD
91,毛泽东提出的文化工作理论包括（  ）。,推陈出新,古为今用、洋为中用,发展民族的、科学的、大众的文化,百花齐放、百家争鸣,,,ABCD
92,积极贯彻群众路线，就是要（  ）。,一切为了群众,一切依靠群众,从群众中来,到群众中去,,,ABCD
93,在社会主义建设过程中，毛泽东提出要造成一个（  ）的政治局面的思想。,又有纪律又有自由,又有集中又有民主,又有统一意志，又有个人心情舒畅,生动活泼,,,ABCD
94,毛泽东提出，党员要在（  ）和（  ）上都要入党。,组织,信念,思想,行动,,,AC
95,毛泽东思想产生和形成的实践基础是(  )。,中国共产党领导的工人运动,中国共产党领导的革命实践,中国共产党领导的农民运动,中国共产党领导的建设实践,,,BD
96,毛泽东创造了全党通过（  ）与（  ）进行马克思列宁主义思想教育的整风形式。,反思,批评,辩论,自我批评,,,BD
97,新时代中国共产党的历史使命，就是统揽（    ），实现伟大复兴的中国梦。,伟大斗争,伟大工程,伟大事业,伟大梦想,,,ABCD
98,必须党为最高政治领导力量，原因在于（     ）,这是马克思主义政党的基本要求,这是对党领导革命、建设和改革历史经验的深刻总结,这是推进伟大事业的根本保证,这是实现共产主义的客观要求,,,ABC
99,坚持党对一切工作的领导，必须做到（     ）,绝对服从党中央的安排,认识到党为最高政治领导力量,确保党始终总揽全局协调各方,全面增强党的执政本领,,,BCD
100,（     ）是党的领导决策核心。,中央委员会,全国人民代表大会,中央政治局,中央政治局常委会,,,ACD
101,关于党的民主集中制原则中，下列说法正确的有（    ）。,民主与集中是相互矛盾的,应该把民主基础上的集中和集中指导下的民主相结合,充分发扬民主后作出的决定，各地方、各部门不允许有令不行、有禁不止,民主与集中是辩证统一的,,,BCD
102,“五位一体”总体布局是指把经济建设、政治建设、（）作为一个有机整体。,文化建设,社会建设,生态建设,美丽建设,,,ABC
103,我国经济发展处于（   ）“三期叠加”阶段,高速发展期,增长速度换挡期,结构调整阵痛期,前期刺激政策消化期,,,BCD
104,党的十八届五中全会鲜明提出了创新、协调、（）的新发展理念。,绿色,改革,开放,共享,,,ACD
105,坚持创新发展，就是要不断推进（）等各方面创新。,理论创新,制度创新,科技创新,文化创新,,,ABCD
106,我国现代化注重同步推进物质文明建设和生态文明建设，走（）的文明发展道路。,生产发展,生活富裕,资源高耗,生态良好,,,ABD
107,“三去一降一补”中的“三去一降”是指（）。,去产能,去短板,去杠杆,降库存,,,AC
108,当前，我国经济正处在（）的攻关期。,转变发展方式,优化经济结构,转换增长动力,摒弃宏观调控,,,ABC
109,建设现代化经济体系，必须大力发展实体经济，加快实施创新驱动发展战略（）。,激发各类市场主体活力,积极推动城乡区域协调发展,着力发展开放型经济,加快完善社会主义市场经济体制,,,ABCD
110,走中国特色社会主义政治发展道路，必须坚持（）有机统一。,党的领导,人民当家作主,三权分立,依法治国,,,ABD
111,基层群众自治制度是党领导人民群众实现（  ）,自我管理,自我服务,自我教育,自我监督,,,ABCD
112,人民代表大会制度是（）的根本政治制度和最髙实现形式。,符合中国国情,符合各国国情,体现中国社会主义国家性质,能够保证人民当家作主,,,ACD
113,人民政协要坚持人民政协为人民，把协商民主贯穿(  )全过程.,政治协商,民主监督,参政议政,人民专政,,,ABC
114,社会主义的建设事业必须依靠（  ），团结一切可以团结的力量。,工人,企业家,农民,知识分子,,,ACD
115,民主党派要更好履职，就要不断提高（）,政治把握能力,参政议政能力,组织领导能力,合作共事能力,,,ABCD
116,意识形态（）。,关乎旗帜,关乎道路,关乎国家政治安全,决定文化前进方向和道路,,,ABCD
117,落实意识形态责任制，总的要求是敢抓敢管、敢于亮剑，做到（）。,守土有责,守土负责,守土尽责,有错必罚,,,ABC
118,掌握意识形态工作领导权，要旗帜鲜明坚持马克思主义指导地位，（）。,加快构建中国特色哲学社会科学,坚持正确的舆论导向,建设好网络空间,落实好意识形态工作责任制,,,ABCD
119,富强、民主、文明、和谐，自由、平等、公正、法治，爱国、敬业、诚信、友善24个字的社会主义核心价值观，把涉及（  ）三个层面的价值要求融为一体。,国家,集体,社会,公民,,,ACD
120,培育和践行社会主义核心价值观，要坚持（）。,全民行动、家长带头,全民行动、干部带头,从家庭做起、从娃娃抓起,从家庭做起、从学生抓起,,,BC
121,培育和践行社会主义核心价值观，必须立足（）。,中华优秀传统文化,世界优秀传统文化,革命文化,改革文化,,,AC
122,培育和践行社会主义核心价值观，还必须发扬伟大民族精神，这就是（）。,伟大创造精神,伟大奋斗精神,伟大团结精神,伟大梦想精神,,,ABCD
123,文化强国是指一个国家具有强大的文化力量。这种力量表现为（）。,具有高度文化素养的国民,发达的文化产业,强大的文化软实力,强力输出本国文化,,,ABC
124,在中国特色社会主义新时代，我们要以更大的力度、更实的措施（）。,保障和改善民生,加强和创新社会治理,坚决打赢脱贫攻坚战,促进社会公平正义,,,ABCD
125,"提高保障和改善民生水平,要（）。",建设高质量教育体系,实施就业优先战略,优化收入分配结构,健全多层次社会保障体系,,,ABCD
126,优化收入分配结构，持续（）。,扩大中等收入群体,提高低收入群体收入,打压过高收入,提高税率,,,AB
127,要全面建成（）的多层次社会保障体系。,城乡统筹,覆盖全民,公平统一,可持续,,,ABCD
128,加强和创新社会治理，逐步实现（），有力推进国家治理现代化。,社会治理结构的合理化,治理方式的科学化,治理过程的民主化,加强社会心理服务体系建设,,,ABC
129,推进社会文明进步、安定和谐，塑造（）的社会心态。,自尊自信,理性平和,亲善友爱,争强好胜,,,ABC
130,新时代枫桥经验，（  ）是主要路径。,自治,法治,人治,德治,,,ABD
131,建设社会主义生态文明就是要建设以（）的资源节约型、环境友好型社会。,资源环境承载力为基础,以自然规律为准则,可持续发展为目标,人的需求得到完全满足为目的,,,ABC
132,在生态环境保护上，一定要树立（），不能因小失大、顾此失彼、寅吃卯粮、急功近利。,区域观,大局观,长远观,整体观,,,BCD
133,形成人与自然和谐发展新格局，必须（）。,把节约资源放在首位,坚持保护优先、自然恢复为主,着力推进绿色发展、循环发展、低碳发展,形成节约资源和保护环境的空间格局、产业结构、生产方式、生活方式,,,ABCD
134,建设生态文明是一场涉及（）的革命性变革。,生产方式,生活方式,思维方式,价值观念,,,ABCD
135,加快生态文明体制改革，必须（）。,推进绿色发展,着力解决突出环境问题,加大生态系统保护力度,改革生态环境监管体制,,,ABCD
136,贯彻新发展理念，加快划定并严守（  ）三条红线。,生态保护红线,永久基本农田保护红线,环境质量底线,资源利用上线,,,ACD
137,全面建成小康社会，“全面”讲的是发展的（）。,平衡性,协调性,全面性,可持续性,,,ABD
138,下列有关全面小康的说法正确的是（）。,全面小康，覆盖的领域要全面，是“五位一体”全面进步的小康。,全面小康，覆盖的人口要全面，是惠及全体人民的小康。,全面小康，覆盖的区域要全面，是城乡区域共同发展的小康。,全面小康，覆盖的国家要全面，是世界各国共同发展的小康。,,,ABC
139,下列有关全面小康的说法正确的是（）。,全面建成小康社会，是“同一水平小康”。,全面建成小康社会，要实事求是、因地制宜。,全面建成小康社会是针对全国讲的，不是每个地区、每个民族、每个人都达到同一个水平。,2020年底，中国打赢了脱贫攻坚战，决胜全面建成小康社会取得决定性成就。,,,BCD
140,在全面建成小康社会决胜期，我国取得的决定性成就有（）,国经济实力、科技实力、综合国力跃上新的大台阶,全面深化改革取得重大突破,对外开放持续扩大,人民生活水平显著提高,,,ABCD
141,2020年底，我国脱贫攻坚取得了全面胜利。我国脱贫攻坚工作的成功经验有包括（）,坚持党的领导，为脱贫攻坚提供坚强政治和组织保证,坚持以人民为中心的发展思想，坚定不移走共同富裕道路,坚持发挥我国社会主义制度集中力量办大事的政治优势，形成脱贫攻坚的共同意志、共同行动,坚持精准扶贫方略，用发展的办法消除贫困根源,,,ABCD
142,中国式现代化是社会主义现代化，是独具特色、有别于资本主义的现代化。中国现代化的特征包括（）,人口规模巨大,全体人民共同富裕,物质文明与精神文明相协调，人与自然和谐共生,走和平发展道路 ,,,ABCD
143,中国特色社会主义进入新时代，要站在更高起点谋划和推进改革，改革是（）的。,有方法,有方向,有立场,有原则,,,BCD
144,党是改革的（），改革能否顺利推进，关键取决于党，取决于党的领导。,倡导者,获利者,推动者,领导者,,,ACD
145,全面深化改革必须始终坚持方向不变、立场不移、原则不改，无论怎么改、改到哪一步，都要始终（）。,坚持和完善中国特色社会主义制度,坚持以人民为中心的改革价值取向,坚持党对改革的集中统一领导,继承中华传统文化,,,ABC
146,在推进全面深化改革中，必须充分发挥党总揽全局、协调各方的领导核心作用，不断提高党（）的能力和定力，为全面深化改革纵深推进提供根本保证。,把方向,谋大局,定政策,促改革,,,ABCD
147,治理能力是运用国家制度管理国家各方面事务的能力，它包括（）等各个方面各个领域的治理能力。,改革发展稳定,内政外交国防,经济法律政治,治党治国治军,,,ABD
