,题干,A,B,C,D,答案
0,中国特色社会主义进入新时代，我国社会主要矛盾已经转化为(),人民日益增长的物质文化需要同落后的社会生产之间的矛盾,人民对于建立先进的工业国的要求同落后的农业国的现实之间的矛盾,人民对于经济文化迅速发展的需要同当前经济文化不能满足人民需要的状况之间的矛盾,人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾,D
1,当前我国社会主义所处的历史阶段是(),社会主义初级阶段,社会主义中级阶段,社会主义高级阶段,社会主义特殊阶段,A
2,习近平新时代中国特色社会主义思想的核心要义是(),坚持四项基本原则,以经济建设为中心,坚持和发展中国特色社会主义,坚持改革开放,C
3,实现社会主义现代化、创造人民美好生活的必经之路是(),中国特色社会主义制度,中国特色社会主义道路,中国特色社会主义文化,中国特色社会主义理论体系,B
4,解决我国一切问题的基础和关键(),创新,发展,改革,开放,B
5,中国特色社会主义的本质要求和重要保障是(),全面依法治国,全面深化改革,全面从严治党,全面建设小康社会,A
6,坚持和发展中国特色社会主义，总任务是（）,完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化,建设中国特色社会主义法治体系、建设社会主义法治国家,实现社会主义现代化和中华民族伟大复兴，在全面建成小康社会的基础上，分两步走在本世纪中叶建成富强民主文明和谐美丽的社会主义现代化强国,建设一支听党指挥、能打胜仗、作风优良的人民军队，把人民军队建设成为世界一流军队,C
7,（）是贯彻习近平新时代中国特色社会主义思想的一根红线,人民立场,人民主体,人民至上,人民幸福,C
8,习近平新时代中国特色社会主义思想强调底线思维，是指（）,高瞻远瞩、统揽全局,知古鉴今、运用历史眼光看待问题,破除迷信、超越陈规,客观设定最低目标，立足最低点争取最大期望值,D
9,习近平新时代中国特色社会主义思想强调法治思维，是指（）,高瞻远瞩、统揽全局,知古鉴今、运用历史眼光看待问题,增强尊法学法守法用法意识，用法治方式治国理政,客观设定最低目标，立足最低点争取最大期望值,C
10,人民是中国梦的（    ），是中国梦的创造者和享有者。,主体,客体,组织者,参与者,A
11,全面建设社会主义现代化国家的进程分两个阶段来安排。第一个阶段，从（    ），在全面建成小康社会的基础上，再奋斗15年，基本实现社会主义现代化。,2000年到2020年,2018年到2035年,2035年到2050年,2020年到2035年,D
12,中华民族的昨天，是（    ）。,“雄关漫道真如铁”,“人间正道是沧桑”,“长风破浪会有时”,“直挂云帆济沧海”,A
13,中华民族的今天，是（    ）。,“雄关漫道真如铁”,“人间正道是沧桑”,“长风破浪会有时”,“直挂云帆济沧海”,B
14,中华民族的明天，是（    ）。,“雄关漫道真如铁”,“人间正道是沧桑”,“长风破浪会有时”,“直挂云帆济沧海”,C
15,制定正确的发展战略和政策的依据是（    ）。,我国社会的经济总量,我国社会的发展目标,我国社会的具体国情,我国社会的社会性质,C
16,中国特色社会主义事业要紧紧依靠（    ）。,全国各族人民,精英分子,中国共产党,爱国统一战线,A
17,（   ）是中国特色社会主义事业的领导力量。,全国各族人民,精英分子,中国共产党,爱国统一战线,C
18,党的十三大提出基本实现我国社会主义现代化的发展战略是（   ）。,“三步走”发展战略,“四步走”发展战略,“五步走”发展战略,“全面小康”发展战略,A
19,习近平同志指出，实现中国梦必须走(    )道路。,中国特色社会主义,现代化,和平发展,改革开放,A
20,习近平同志指出，实现中国梦必须凝聚中国力量。所谓中国力量，就是(    )。,中国共产党领导的力量,中国各族人民大团结的力量,工人阶级团结的力量,全球华人合作的力量,B
21,中国梦是（    ）的形象表达。,实现共产主义,全面建成小康社会,中华民族崛起,中华民族伟大复兴,D
22,全面建设社会主义现代化国家的进程分两个阶段来安排。第二个阶段，从（    ），在基本实现现代化的基础上，把我国建成富强民主文明和谐美丽的社会主义现代化国家。,2000年到2020年,2018年到2035年,2035年到本世纪中叶,2020年到2035年,C
23,改革开放之后，党提出了“三步走”战略目标，目前已经走完了,第一步,第二步和第三步,第一步和第二步,第二步,C
24,习近平在（    ）首次提中国梦。,十九大报告中,十八大报告中,参观《复兴之路》展览时,十七大报告中,C
25,（    ）是国家富强、民族振兴的根本出发点和落脚点。,人民幸福,人民满意,社会和谐,共同富裕,A
26,中国梦归根结底是（     ）的梦,共产主义,党,人民,民族,C
27,（）是引领发展的第一动力。,创新,协调,绿色,开放、共享,A
28,坚持（）发展，是应对发展环境变化、增强发展动力、把握发展主动权，更好引领新常态的根本之策。,创新,协调,绿色,开放、共享,A
29,坚持创新发展，就是把创新摆在国家发展全局的（）位置。,重要,次要,核心,非核心,C
30,（）是持续健康发展的内在要求。,创新,协调,绿色,开放、共享,B
31,（）是永续发展的必要条件和人民对美好生活追求的重要体现。,创新,协调,绿色,开放、共享,C
32,（）发展，就是要解决好人与自然和谐共生问题，推进美丽中国建设。,创新,协调,绿色,开放、共享,C
33,（）是国家繁荣发展的必由之路。,创新、协调,绿色,开放,共享,C
34,（）是中国特色社会主义的本质要求。,创新、协调,绿色,开放,共享,D
35,共享的内涵主要包括四个方面，即：全民共享、全面共享、共建共享、（）。,高级共享,均衡共享,渐进共享,同步共享,C
36,一九三九年，毛泽东第一次提出“新民主主义革命”的科学概念的著作是(   ),《中国革命和中国共产党》,《在晋绥干部会议上的讲话》,《新民主主义论》,《论人民民主专政》,A
37, “因为中国资产阶级根本上与剥削农民的豪绅地主相混合，中国革命要推翻地主阶级，便不能不同时推翻资产阶级”。这一观点的主要错误是(   ),忽视了反对帝国主义的必要性,未能区分中国资产阶级的两部分,混淆了民主革命和社会主义革命的任务,不承认中国资产阶级与地主阶级的区别,C
38,在新民主主义的经济纲领中，包含着新民主主义革命和社会主义革命双重性质的内容是(   ),没收封建地主阶级的土地,土地革命路线,没收官僚资本,保护民族工商业,C
39,在新民主主义的经济纲领中，极具特色的一项内容是(   ),没收封建地主阶级的土地归农民所有,土地革命路线,没收官僚资本归新民主主义国家所有,保护民族工商业,D
40,“房子是应该经常打扫的，不打扫就会积满了灰尘，脸是应该经常洗的，不洗也就会灰尘满面。我们同志的思想、我们党的工作，也会沾染灰尘的，也应该打扫和洗涤。”这段话形象地反映了中国共产党在长期革命实践中历形成的(   ) ,密切联系群众的优良作风,艰苦奋斗的优良作风 ,理论联系实际的优良作风,批评与自我批评的优良作风,D
41,新民主主义革命理论的核心问题是（   ）,革命的动力,革命的前途,革命的领导权,革命的任务,C
42,土地革命战争时期，红色政权能够存在和发展的根本原因是                                                                                                      （    ）,中国是一个经济政治发展极端不平衡的半殖民地半封建大国,国民革命的政治影响及良好的群众基础,全国革命形势的继续发展,相当力量的正式红军的存在以及共产党组织的坚强有力领导,A
43,从鸦片战争到辛亥革命期间，中国人民所进行的反帝反封建的斗争 ，属于（   ）,旧民主主义革命范畴,新民主主义革命范畴,过渡时期,新民主主义社会,A
44,毛泽东指出，认清一切革命问题的基本的根据是(   ),正确分析中国社会的阶级状况,正确分析中国社会的经济结构,认清中国的国情,认清中国社会的主要矛盾,C
45, 近代中国的社会性质是(     ),封建社会,半殖民地半封建社会,资本主义社会,前资本主义社会,B
46,中国沦为半殖民地半封建社会的起点的战争是(   ),鸦片战争 ,第二次鸦片战争,甲午中日战争,八国联军侵华战争,A
47,帝国主义奴役近代中国的社会基础是(   ),封建势力,买办资产阶级, 小资产阶级, 民族资产阶级,A
48,近代中国社会最主要的矛盾是(   ) ,农民阶级和地主阶级的矛盾,帝国主义和中华民族的矛盾,人民大众和封建主义的矛盾,无产阶级和资产阶级的矛盾,B
49,由旧民主主义革命向新民主主义革命转变的标志是(   ),新文化运动,辛亥革命, “五四”运动,中国共产党的成立,C
50,毛泽东提出新民主主义革命的三大法宝的著作是(   ),《共产党人》发刊词,《论人民民主专政》,《新民主主义论》,《论联合政府》,A
51,新民主主义国家的政体是(   ),政治协商会议制度, 共产党领导的多党合作制度,人民代表大会制度,参议会制度 ,C
52,中国革命的领导阶级是(   ),工人阶级,农民阶级,小资产阶级,民族资产阶级,A
53,中国革命最基本的动力是(   ),无产阶级,农民,小资产阶级,民族资产阶级,A
54,中国无产阶级最可靠的同盟军是(   ),农民阶级,城市小资产阶级, 民族资产阶级,开明士绅,A
55,近代中国民主革命的主力军是(   ),工人阶级,知识分子,农民阶级,民族资产阶级,C
56,近代中国带有两面性的阶级是(   ),大资产阶级,小资产阶级,民族资产阶级,地主阶级,C
57,秋收起义后毛泽东创建的第一个农村革命根据地是(   ),井冈山根据地,左右江根据地,闽西根据地,中央根据地,A
58,不属于新民主主义革命时期的统一战线的是(   ),工农民主统一战线, 抗日民族统一战线,人民民主统一战线,新时期爱国统一战线,D
59,新民主主义革命区别于旧民主主义革命的根本标志是(   ),革命的动力,革命的目标, 革命的对象,革命的领导权,D
60,毛泽东提出“须知政权是由枪杆子中取得的”的著名论断是在(   ),八七会议,古田会议,遵义会议,瓦窑堡会议,A
61,中国共产党领导的新民主主义革命的根本目的是(   ),解放被束缚的生产力,建立新民主主义的人民共和国,改变中国半殖民地半封建社会的面貌,推翻帝国主义、封建主义和官僚资本主义的统治 ,A
62,新民主主义革命的前途是(   ),共产主义,社会主义,新民主主义,资本主义,B
63,新民主主义革命的主要内容是(   ),武装斗争,没收封建地主阶级的土地归农民所有,建设农村根据地,政权建设,B
64,中国革命的首要对象(   ),大资产阶级,民族资产阶级,封建势力,帝国主义,D
65,中国共产党在领导人民革命的过程中，积累了丰富的经验，武装斗争就是战胜敌人的重要法宝之一，其实质是（   ）,无产阶级的反帝国主义战争,资产阶级领导的反封建战争,工农联合的反军阀战争,工人阶级领导的农民战争,D
66,中国革命的中心问题是（   ）,无产阶级的领导权,团结革命动力,认清革命对象,明确革命目标,   A
67,新民主主义革命的首要问题是（）,分清敌友,团结农民阶级,坚持中国共产党的领导,正确分析民族资产阶级的两面性,A
68,开辟世界无产阶级社会主义革命新纪元的一次革命是指（）,五四运动,俄国十月革命,太平天国运动,新民主主义革命,B
69,毛泽东在哪本著作中阐明了其新民主主义的政治、经济、文化纲领（）,《论联合政府》,《新民主主义论》,《井冈山的斗争》,《论人民民主专政》,B
70,以毛泽东为主要代表的中国共产党人在实践中总结出来的关于中国革命道路问题的科学概念是（） ,农村包围城市思想,坚持党的领导思想,工农武装割据思想,党的基本路线思想,C
71,毛泽东建军思想的核心是（）,"坚持党对军队的绝
对领导","坚持全心全意为人民服务的军队

",坚持正确的战略原则,加强人民军队建设,A
72,我国对资本主义工商业的社会主义改造基本完成的标志是（   ）,加工订货的实行,单个企业公私合营的实现,统购包销的实行,全行业公私合营的实现,D
73,我国进入社会主义社会的时间是（    ）,中华人民共和国成立之后,全国土地改革基本完成之后,过渡时期总路线的提出之后,社会主义改造基本完成之后,D
74,我国建国初期属于(   ),新民主主义社会,社会主义社会,资本主义社会,半殖民地半封建社会,A
75,我国建国初期政权的性质是(   ),无产阶级专政,农民阶级专政,资产阶级专政,各革命阶级联合专政,D
76,在我国，剥削阶级和剥削制度被消灭的标志是(   ),中华人民共和国的建立,全国大陆的统一,社会主义改造的完成,土地改革的完成,C
77,一九五三年到一九五六年国内的主要矛盾是(   ),中国人民同国民党残余势力、地主阶级和帝国主义的矛盾,工人阶级同资产阶级的矛盾、社会主义道路同资本主义道路的矛盾,人民日益增长的物质文化生活需要同落后的社会生产之间的矛盾,帝国主义和中华民族的矛盾、封建主义同人民大众的矛盾,B
78,中国民族资产阶级在社会主义改造时期仍有两面性，其表现为(   ),革命性和妥协性,主动性和被动性,剥削工人的一面和接受党的领导的一面,进步性和顽固性,C
79,党在过渡时期总路线最显著的特点是(   ),实行社会主义建设和改造同时并举,用和平方法改造民族工商业,以实现社会主义工业化为主要目标,符合当时的基本国情，反映了新民主主义向社会主义转变的历史必然性,A
80,我国在对民族资本主义工商业实行全行业公私合营后采取的赎买政策是(   ),四马分肥,定息,加工订货、统购统销,国家资本主义,B
81,我国对民族资本主义工商业的社会主义改造的高级形式是(   ),委托加工,计划订货,统购包销、经销代销,全行业公私合营,D
82,三大改造的实质是(   ),实行农业合作化,建立国营经济,改变生产资料私有制,恢复国民经济,C
83,党在过渡时期的总路线和总任务是(    ),无产阶级领导的、人民大众的，反对帝国主义、封建主义、官僚资本主义的革命,在一相当长的时期内，逐步实现国家的社会主义工业化，并逐步实现国家对农业、手工业和资本主义工商业的社会主义改造,鼓足干劲，力争上游，多快好省地建设社会主义,以经济建设为中心，坚持四项基本原则，坚持改革开放，自力更生，艰苦创业，为把中国建设成富强、民主、文明的社会主义现代化国家而奋斗。,B
84,一九五三年提出的过渡时期总路线的过渡时期是指(   ),从中华人民共和国成立，到社会主义建成,从国民经济恢复，到社会主义改造完成,从中华人民共和国成立，到社会主义改造基本完成,从总路线提出起，到建成社会主义,C
85,一九五三年九月，毛泽东在对民主党派和工商界部分代表讲话时指出：改造资本主义工商业和逐步完成社会主义过渡的必经之路是(   ),剥夺资本家的财产,排挤私营工商业,国家资本主义,保护民族工商业,C
86,在社会主义改造中，中国共产党对资本主义工商业所采取的政策是(   ),利用,没收,限制,和平赎买,D
87,新中国在对资本主义工商业实行社会主义改造的过程中，在利润分配上采取的政策是(   ),统筹兼顾,劳资两利,公私兼顾,四马分肥,D
88,党的过渡时期总路线的主体是(   ),三大改造,社会主义革命和社会主义建设同时并举,社会主义工业化建设,对农业的社会主义改造,C
89,下面关于社会主义改造不正确的论述有(   ),社会主义改造的基本完成标志着社会主义制度在中国的确立,社会主义改造的基本完成实现了中国历史上最广泛最深刻的社会变革,社会主义改造的基本完成为中国的社会主义现代化建设奠定了基础,社会主义改造的基本完成标志中国已经建成了社会主义,D
90,党对农业的社会主义改造采取了循序渐进的步骤，逐步实现过渡。其中第二步是组织(   ),农业生产变工队,农业生产互助组,初级农业生产合作社,高级农业生产合作社,C
91,我国在对农业和手工业进行社会主义改造时采取的方针是(   ),积极领导、稳步前进,利用、限制、改造,和平赎买,自愿互利、典型示范和国家帮助,A
92,对资本主义工商业实行社会主义改造，使资本主义所有制过渡到社会主义公有制具有决定意义的重大步骤是(   ),委托加工,计划订货,统购包销,全行业公私合营,D
93,社会主义过渡时期总路线错误的说法是(   ),主要内容是“一化三改”,过渡时期结束的标志是社会主义改造结束,以单一的社会主义公有制为目标,以中国特色社会主义为目标,D
94,我国从新民主主义到社会主义的过渡时期，个体经济向社会主义集体经济过渡的形式是(   ),国营经济,私人资本主义经济,合作社经济,国家资本主义经济,C
95,中国历史上最深刻最大的社会变革是指（）,社会主义基本制度的确立,三大改造,新中国的成立,新民主主义革命,         A
96,在对资本主义工商业改造中，国家对资方在职人员和资方代理人所采取的原则是指（）,量才适用，适当照顾,改造,包下来,利用,         A
97,“工人革命的第一步就是使无产阶级上升为统治阶级，争得民主”出自以下哪一本著作（）,《关于农业生产互助合作的决议》,《共产党宣言》,《毛泽东文集》,"《关于党在过渡时期总路线的学习和宣传提纲》
",     B
98,社会主义改造中，中国共产党对待农民的方法是（）,引导、说服、教育,改造、教育,剥夺,引导、改造,  A
99,中国特色社会主义进入新时代，我国社会主要矛盾已经转化为(),人民日益增长的物质文化需要同落后的社会生产之间的矛盾,人民对于建立先进的工业国的要求同落后的农业国的现实之间的矛盾,人民对于经济文化迅速发展的需要同当前经济文化不能满足人民需要的状况之间的矛盾,人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾,D
100,当前我国社会主义所处的历史阶段是(),社会主义初级阶段,社会主义中级阶段,社会主义高级阶段,社会主义特殊阶段,A
101,习近平新时代中国特色社会主义思想的核心要义是(),坚持四项基本原则,以经济建设为中心,坚持和发展中国特色社会主义,坚持改革开放,C
102,实现社会主义现代化、创造人民美好生活的必经之路是(),中国特色社会主义制度,中国特色社会主义道路,中国特色社会主义文化,中国特色社会主义理论体系,B
103,解决我国一切问题的基础和关键(),创新,发展,改革,开放,B
104,中国特色社会主义的本质要求和重要保障是(),全面依法治国,全面深化改革,全面从严治党,全面建设小康社会,A
105,坚持和发展中国特色社会主义，总任务是（）,完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化,建设中国特色社会主义法治体系、建设社会主义法治国家,实现社会主义现代化和中华民族伟大复兴，在全面建成小康社会的基础上，分两步走在本世纪中叶建成富强民主文明和谐美丽的社会主义现代化强国,建设一支听党指挥、能打胜仗、作风优良的人民军队，把人民军队建设成为世界一流军队,C
106,（）是贯彻习近平新时代中国特色社会主义思想的一根红线,人民立场,人民主体,人民至上,人民幸福,C
107,习近平新时代中国特色社会主义思想强调底线思维，是指（）,高瞻远瞩、统揽全局,知古鉴今、运用历史眼光看待问题,破除迷信、超越陈规,客观设定最低目标，立足最低点争取最大期望值,D
108,习近平新时代中国特色社会主义思想强调法治思维，是指（）,高瞻远瞩、统揽全局,知古鉴今、运用历史眼光看待问题,增强尊法学法守法用法意识，用法治方式治国理政,客观设定最低目标，立足最低点争取最大期望值,C
109,人民是中国梦的（    ），是中国梦的创造者和享有者。,主体,客体,组织者,参与者,A
110,全面建设社会主义现代化国家的进程分两个阶段来安排。第一个阶段，从（    ），在全面建成小康社会的基础上，再奋斗15年，基本实现社会主义现代化。,2000年到2020年,2018年到2035年,2035年到2050年,2020年到2035年,D
111,中华民族的昨天，是（    ）。,“雄关漫道真如铁”,“人间正道是沧桑”,“长风破浪会有时”,“直挂云帆济沧海”,A
112,中华民族的今天，是（    ）。,“雄关漫道真如铁”,“人间正道是沧桑”,“长风破浪会有时”,“直挂云帆济沧海”,B
113,中华民族的明天，是（    ）。,“雄关漫道真如铁”,“人间正道是沧桑”,“长风破浪会有时”,“直挂云帆济沧海”,C
114,制定正确的发展战略和政策的依据是（    ）。,我国社会的经济总量,我国社会的发展目标,我国社会的具体国情,我国社会的社会性质,C
115,中国特色社会主义事业要紧紧依靠（    ）。,全国各族人民,精英分子,中国共产党,爱国统一战线,A
116,（   ）是中国特色社会主义事业的领导力量。,全国各族人民,精英分子,中国共产党,爱国统一战线,C
117,党的十三大提出基本实现我国社会主义现代化的发展战略是（   ）。,“三步走”发展战略,“四步走”发展战略,“五步走”发展战略,“全面小康”发展战略,A
118,习近平同志指出，实现中国梦必须走(    )道路。,中国特色社会主义,现代化,和平发展,改革开放,A
119,习近平同志指出，实现中国梦必须凝聚中国力量。所谓中国力量，就是(    )。,中国共产党领导的力量,中国各族人民大团结的力量,工人阶级团结的力量,全球华人合作的力量,B
120,中国梦是（    ）的形象表达。,实现共产主义,全面建成小康社会,中华民族崛起,中华民族伟大复兴,D
121,全面建设社会主义现代化国家的进程分两个阶段来安排。第二个阶段，从（    ），在基本实现现代化的基础上，把我国建成富强民主文明和谐美丽的社会主义现代化国家。,2000年到2020年,2018年到2035年,2035年到本世纪中叶,2020年到2035年,C
122,改革开放之后，党提出了“三步走”战略目标，目前已经走完了,第一步,第二步和第三步,第一步和第二步,第二步,C
123,习近平在（    ）首次提中国梦。,十九大报告中,十八大报告中,参观《复兴之路》展览时,十七大报告中,C
124,（    ）是国家富强、民族振兴的根本出发点和落脚点。,人民幸福,人民满意,社会和谐,共同富裕,A
125,中国梦归根结底是（     ）的梦,共产主义,党,人民,民族,C
126,（）是引领发展的第一动力。,创新,协调,绿色,开放、共享,A
127,坚持（）发展，是应对发展环境变化、增强发展动力、把握发展主动权，更好引领新常态的根本之策。,创新,协调,绿色,开放、共享,A
128,坚持创新发展，就是把创新摆在国家发展全局的（）位置。,重要,次要,核心,非核心,C
129,（）是持续健康发展的内在要求。,创新,协调,绿色,开放、共享,B
130,（）是永续发展的必要条件和人民对美好生活追求的重要体现。,创新,协调,绿色,开放、共享,C
131,（）发展，就是要解决好人与自然和谐共生问题，推进美丽中国建设。,创新,协调,绿色,开放、共享,C
132,（）是国家繁荣发展的必由之路。,创新、协调,绿色,开放,共享,C
133,（）是中国特色社会主义的本质要求。,创新、协调,绿色,开放,共享,D
134,共享的内涵主要包括四个方面，即：全民共享、全面共享、共建共享、（）。,高级共享,均衡共享,渐进共享,同步共享,C
135,一九三九年，毛泽东第一次提出“新民主主义革命”的科学概念的著作是(   ),《中国革命和中国共产党》,《在晋绥干部会议上的讲话》,《新民主主义论》,《论人民民主专政》,A
136, “因为中国资产阶级根本上与剥削农民的豪绅地主相混合，中国革命要推翻地主阶级，便不能不同时推翻资产阶级”。这一观点的主要错误是(   ),忽视了反对帝国主义的必要性,未能区分中国资产阶级的两部分,混淆了民主革命和社会主义革命的任务,不承认中国资产阶级与地主阶级的区别,C
137,在新民主主义的经济纲领中，包含着新民主主义革命和社会主义革命双重性质的内容是(   ),没收封建地主阶级的土地,土地革命路线,没收官僚资本,保护民族工商业,C
138,在新民主主义的经济纲领中，极具特色的一项内容是(   ),没收封建地主阶级的土地归农民所有,土地革命路线,没收官僚资本归新民主主义国家所有,保护民族工商业,D
139,“房子是应该经常打扫的，不打扫就会积满了灰尘，脸是应该经常洗的，不洗也就会灰尘满面。我们同志的思想、我们党的工作，也会沾染灰尘的，也应该打扫和洗涤。”这段话形象地反映了中国共产党在长期革命实践中历形成的(   ) ,密切联系群众的优良作风,艰苦奋斗的优良作风 ,理论联系实际的优良作风,批评与自我批评的优良作风,D
140,新民主主义革命理论的核心问题是（   ）,革命的动力,革命的前途,革命的领导权,革命的任务,C
141,土地革命战争时期，红色政权能够存在和发展的根本原因是                                                                                                      （    ）,中国是一个经济政治发展极端不平衡的半殖民地半封建大国,国民革命的政治影响及良好的群众基础,全国革命形势的继续发展,相当力量的正式红军的存在以及共产党组织的坚强有力领导,A
142,从鸦片战争到辛亥革命期间，中国人民所进行的反帝反封建的斗争 ，属于（   ）,旧民主主义革命范畴,新民主主义革命范畴,过渡时期,新民主主义社会,A
143,毛泽东指出，认清一切革命问题的基本的根据是(   ),正确分析中国社会的阶级状况,正确分析中国社会的经济结构,认清中国的国情,认清中国社会的主要矛盾,C
144, 近代中国的社会性质是(     ),封建社会,半殖民地半封建社会,资本主义社会,前资本主义社会,B
145,中国沦为半殖民地半封建社会的起点的战争是(   ),鸦片战争 ,第二次鸦片战争,甲午中日战争,八国联军侵华战争,A
146,帝国主义奴役近代中国的社会基础是(   ),封建势力,买办资产阶级, 小资产阶级, 民族资产阶级,A
147,近代中国社会最主要的矛盾是(   ) ,农民阶级和地主阶级的矛盾,帝国主义和中华民族的矛盾,人民大众和封建主义的矛盾,无产阶级和资产阶级的矛盾,B
148,由旧民主主义革命向新民主主义革命转变的标志是(   ),新文化运动,辛亥革命, “五四”运动,中国共产党的成立,C
149,毛泽东提出新民主主义革命的三大法宝的著作是(   ),《共产党人》发刊词,《论人民民主专政》,《新民主主义论》,《论联合政府》,A
150,新民主主义国家的政体是(   ),政治协商会议制度, 共产党领导的多党合作制度,人民代表大会制度,参议会制度 ,C
151,中国革命的领导阶级是(   ),工人阶级,农民阶级,小资产阶级,民族资产阶级,A
152,中国革命最基本的动力是(   ),无产阶级,农民,小资产阶级,民族资产阶级,A
153,中国无产阶级最可靠的同盟军是(   ),农民阶级,城市小资产阶级, 民族资产阶级,开明士绅,A
154,近代中国民主革命的主力军是(   ),工人阶级,知识分子,农民阶级,民族资产阶级,C
155,近代中国带有两面性的阶级是(   ),大资产阶级,小资产阶级,民族资产阶级,地主阶级,C
156,秋收起义后毛泽东创建的第一个农村革命根据地是(   ),井冈山根据地,左右江根据地,闽西根据地,中央根据地,A
157,不属于新民主主义革命时期的统一战线的是(   ),工农民主统一战线, 抗日民族统一战线,人民民主统一战线,新时期爱国统一战线,D
158,新民主主义革命区别于旧民主主义革命的根本标志是(   ),革命的动力,革命的目标, 革命的对象,革命的领导权,D
159,毛泽东提出“须知政权是由枪杆子中取得的”的著名论断是在(   ),八七会议,古田会议,遵义会议,瓦窑堡会议,A
160,中国共产党领导的新民主主义革命的根本目的是(   ),解放被束缚的生产力,建立新民主主义的人民共和国,改变中国半殖民地半封建社会的面貌,推翻帝国主义、封建主义和官僚资本主义的统治 ,A
161,新民主主义革命的前途是(   ),共产主义,社会主义,新民主主义,资本主义,B
162,新民主主义革命的主要内容是(   ),武装斗争,没收封建地主阶级的土地归农民所有,建设农村根据地,政权建设,B
163,中国革命的首要对象(   ),大资产阶级,民族资产阶级,封建势力,帝国主义,D
164,中国共产党在领导人民革命的过程中，积累了丰富的经验，武装斗争就是战胜敌人的重要法宝之一，其实质是（   ）,无产阶级的反帝国主义战争,资产阶级领导的反封建战争,工农联合的反军阀战争,工人阶级领导的农民战争,D
