,题干,A,B,C,D,答案
165,中国革命的中心问题是（   ）,无产阶级的领导权,团结革命动力,认清革命对象,明确革命目标,   A
166,新民主主义革命的首要问题是（）,分清敌友,团结农民阶级,坚持中国共产党的领导,正确分析民族资产阶级的两面性,A
167,开辟世界无产阶级社会主义革命新纪元的一次革命是指（）,五四运动,俄国十月革命,太平天国运动,新民主主义革命,B
168,毛泽东在哪本著作中阐明了其新民主主义的政治、经济、文化纲领（）,《论联合政府》,《新民主主义论》,《井冈山的斗争》,《论人民民主专政》,B
169,以毛泽东为主要代表的中国共产党人在实践中总结出来的关于中国革命道路问题的科学概念是（） ,农村包围城市思想,坚持党的领导思想,工农武装割据思想,党的基本路线思想,C
170,毛泽东建军思想的核心是（）,"坚持党对军队的绝
对领导","坚持全心全意为人民服务的军队

",坚持正确的战略原则,加强人民军队建设,A
171,我国对资本主义工商业的社会主义改造基本完成的标志是（   ）,加工订货的实行,单个企业公私合营的实现,统购包销的实行,全行业公私合营的实现,D
172,我国进入社会主义社会的时间是（    ）,中华人民共和国成立之后,全国土地改革基本完成之后,过渡时期总路线的提出之后,社会主义改造基本完成之后,D
173,我国建国初期属于(   ),新民主主义社会,社会主义社会,资本主义社会,半殖民地半封建社会,A
174,我国建国初期政权的性质是(   ),无产阶级专政,农民阶级专政,资产阶级专政,各革命阶级联合专政,D
175,在我国，剥削阶级和剥削制度被消灭的标志是(   ),中华人民共和国的建立,全国大陆的统一,社会主义改造的完成,土地改革的完成,C
176,一九五三年到一九五六年国内的主要矛盾是(   ),中国人民同国民党残余势力、地主阶级和帝国主义的矛盾,工人阶级同资产阶级的矛盾、社会主义道路同资本主义道路的矛盾,人民日益增长的物质文化生活需要同落后的社会生产之间的矛盾,帝国主义和中华民族的矛盾、封建主义同人民大众的矛盾,B
177,中国民族资产阶级在社会主义改造时期仍有两面性，其表现为(   ),革命性和妥协性,主动性和被动性,剥削工人的一面和接受党的领导的一面,进步性和顽固性,C
178,党在过渡时期总路线最显著的特点是(   ),实行社会主义建设和改造同时并举,用和平方法改造民族工商业,以实现社会主义工业化为主要目标,符合当时的基本国情，反映了新民主主义向社会主义转变的历史必然性,A
179,我国在对民族资本主义工商业实行全行业公私合营后采取的赎买政策是(   ),四马分肥,定息,加工订货、统购统销,国家资本主义,B
180,我国对民族资本主义工商业的社会主义改造的高级形式是(   ),委托加工,计划订货,统购包销、经销代销,全行业公私合营,D
181,三大改造的实质是(   ),实行农业合作化,建立国营经济,改变生产资料私有制,恢复国民经济,C
182,党在过渡时期的总路线和总任务是(    ),无产阶级领导的、人民大众的，反对帝国主义、封建主义、官僚资本主义的革命,在一相当长的时期内，逐步实现国家的社会主义工业化，并逐步实现国家对农业、手工业和资本主义工商业的社会主义改造,鼓足干劲，力争上游，多快好省地建设社会主义,以经济建设为中心，坚持四项基本原则，坚持改革开放，自力更生，艰苦创业，为把中国建设成富强、民主、文明的社会主义现代化国家而奋斗。,B
183,一九五三年提出的过渡时期总路线的过渡时期是指(   ),从中华人民共和国成立，到社会主义建成,从国民经济恢复，到社会主义改造完成,从中华人民共和国成立，到社会主义改造基本完成,从总路线提出起，到建成社会主义,C
184,一九五三年九月，毛泽东在对民主党派和工商界部分代表讲话时指出：改造资本主义工商业和逐步完成社会主义过渡的必经之路是(   ),剥夺资本家的财产,排挤私营工商业,国家资本主义,保护民族工商业,C
185,在社会主义改造中，中国共产党对资本主义工商业所采取的政策是(   ),利用,没收,限制,和平赎买,D
186,新中国在对资本主义工商业实行社会主义改造的过程中，在利润分配上采取的政策是(   ),统筹兼顾,劳资两利,公私兼顾,四马分肥,D
187,党的过渡时期总路线的主体是(   ),三大改造,社会主义革命和社会主义建设同时并举,社会主义工业化建设,对农业的社会主义改造,C
188,下面关于社会主义改造不正确的论述有(   ),社会主义改造的基本完成标志着社会主义制度在中国的确立,社会主义改造的基本完成实现了中国历史上最广泛最深刻的社会变革,社会主义改造的基本完成为中国的社会主义现代化建设奠定了基础,社会主义改造的基本完成标志中国已经建成了社会主义,D
189,党对农业的社会主义改造采取了循序渐进的步骤，逐步实现过渡。其中第二步是组织(   ),农业生产变工队,农业生产互助组,初级农业生产合作社,高级农业生产合作社,C
190,我国在对农业和手工业进行社会主义改造时采取的方针是(   ),积极领导、稳步前进,利用、限制、改造,和平赎买,自愿互利、典型示范和国家帮助,A
191,对资本主义工商业实行社会主义改造，使资本主义所有制过渡到社会主义公有制具有决定意义的重大步骤是(   ),委托加工,计划订货,统购包销,全行业公私合营,D
192,社会主义过渡时期总路线错误的说法是(   ),主要内容是“一化三改”,过渡时期结束的标志是社会主义改造结束,以单一的社会主义公有制为目标,以中国特色社会主义为目标,D
193,我国从新民主主义到社会主义的过渡时期，个体经济向社会主义集体经济过渡的形式是(   ),国营经济,私人资本主义经济,合作社经济,国家资本主义经济,C
194,中国历史上最深刻最大的社会变革是指（）,社会主义基本制度的确立,三大改造,新中国的成立,新民主主义革命,         A
195,在对资本主义工商业改造中，国家对资方在职人员和资方代理人所采取的原则是指（）,量才适用，适当照顾,改造,包下来,利用,         A
196,“工人革命的第一步就是使无产阶级上升为统治阶级，争得民主”出自以下哪一本著作（）,《关于农业生产互助合作的决议》,《共产党宣言》,《毛泽东文集》,"《关于党在过渡时期总路线的学习和宣传提纲》
",     B
197,社会主义改造中，中国共产党对待农民的方法是（）,引导、说服、教育,改造、教育,剥夺,引导、改造,  A
198,中国特色社会主义进入新时代，我国社会主要矛盾已经转化为(),人民日益增长的物质文化需要同落后的社会生产之间的矛盾,人民对于建立先进的工业国的要求同落后的农业国的现实之间的矛盾,人民对于经济文化迅速发展的需要同当前经济文化不能满足人民需要的状况之间的矛盾,人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾,D
199,当前我国社会主义所处的历史阶段是(),社会主义初级阶段,社会主义中级阶段,社会主义高级阶段,社会主义特殊阶段,A
200,习近平新时代中国特色社会主义思想的核心要义是(),坚持四项基本原则,以经济建设为中心,坚持和发展中国特色社会主义,坚持改革开放,C
201,实现社会主义现代化、创造人民美好生活的必经之路是(),中国特色社会主义制度,中国特色社会主义道路,中国特色社会主义文化,中国特色社会主义理论体系,B
202,解决我国一切问题的基础和关键(),创新,发展,改革,开放,B
203,中国特色社会主义的本质要求和重要保障是(),全面依法治国,全面深化改革,全面从严治党,全面建设小康社会,A
204,坚持和发展中国特色社会主义，总任务是（）,完善和发展中国特色社会主义制度、推进国家治理体系和治理能力现代化,建设中国特色社会主义法治体系、建设社会主义法治国家,实现社会主义现代化和中华民族伟大复兴，在全面建成小康社会的基础上，分两步走在本世纪中叶建成富强民主文明和谐美丽的社会主义现代化强国,建设一支听党指挥、能打胜仗、作风优良的人民军队，把人民军队建设成为世界一流军队,C
205,（）是贯彻习近平新时代中国特色社会主义思想的一根红线,人民立场,人民主体,人民至上,人民幸福,C
206,习近平新时代中国特色社会主义思想强调底线思维，是指（）,高瞻远瞩、统揽全局,知古鉴今、运用历史眼光看待问题,破除迷信、超越陈规,客观设定最低目标，立足最低点争取最大期望值,D
207,习近平新时代中国特色社会主义思想强调法治思维，是指（）,高瞻远瞩、统揽全局,知古鉴今、运用历史眼光看待问题,增强尊法学法守法用法意识，用法治方式治国理政,客观设定最低目标，立足最低点争取最大期望值,C
208,人民是中国梦的（    ），是中国梦的创造者和享有者。,主体,客体,组织者,参与者,A
209,全面建设社会主义现代化国家的进程分两个阶段来安排。第一个阶段，从（    ），在全面建成小康社会的基础上，再奋斗15年，基本实现社会主义现代化。,2000年到2020年,2018年到2035年,2035年到2050年,2020年到2035年,D
210,中华民族的昨天，是（    ）。,“雄关漫道真如铁”,“人间正道是沧桑”,“长风破浪会有时”,“直挂云帆济沧海”,A
211,中华民族的今天，是（    ）。,“雄关漫道真如铁”,“人间正道是沧桑”,“长风破浪会有时”,“直挂云帆济沧海”,B
212,中华民族的明天，是（    ）。,“雄关漫道真如铁”,“人间正道是沧桑”,“长风破浪会有时”,“直挂云帆济沧海”,C
213,制定正确的发展战略和政策的依据是（    ）。,我国社会的经济总量,我国社会的发展目标,我国社会的具体国情,我国社会的社会性质,C
214,中国特色社会主义事业要紧紧依靠（    ）。,全国各族人民,精英分子,中国共产党,爱国统一战线,A
215,（   ）是中国特色社会主义事业的领导力量。,全国各族人民,精英分子,中国共产党,爱国统一战线,C
216,党的十三大提出基本实现我国社会主义现代化的发展战略是（   ）。,“三步走”发展战略,“四步走”发展战略,“五步走”发展战略,“全面小康”发展战略,A
217,习近平同志指出，实现中国梦必须走(    )道路。,中国特色社会主义,现代化,和平发展,改革开放,A
218,习近平同志指出，实现中国梦必须凝聚中国力量。所谓中国力量，就是(    )。,中国共产党领导的力量,中国各族人民大团结的力量,工人阶级团结的力量,全球华人合作的力量,B
219,中国梦是（    ）的形象表达。,实现共产主义,全面建成小康社会,中华民族崛起,中华民族伟大复兴,D
220,全面建设社会主义现代化国家的进程分两个阶段来安排。第二个阶段，从（    ），在基本实现现代化的基础上，把我国建成富强民主文明和谐美丽的社会主义现代化国家。,2000年到2020年,2018年到2035年,2035年到本世纪中叶,2020年到2035年,C
221,改革开放之后，党提出了“三步走”战略目标，目前已经走完了,第一步,第二步和第三步,第一步和第二步,第二步,C
222,习近平在（    ）首次提中国梦。,十九大报告中,十八大报告中,参观《复兴之路》展览时,十七大报告中,C
223,（    ）是国家富强、民族振兴的根本出发点和落脚点。,人民幸福,人民满意,社会和谐,共同富裕,A
224,中国梦归根结底是（     ）的梦,共产主义,党,人民,民族,C
225,（）是引领发展的第一动力。,创新,协调,绿色,开放、共享,A
226,坚持（）发展，是应对发展环境变化、增强发展动力、把握发展主动权，更好引领新常态的根本之策。,创新,协调,绿色,开放、共享,A
227,坚持创新发展，就是把创新摆在国家发展全局的（）位置。,重要,次要,核心,非核心,C
228,（）是持续健康发展的内在要求。,创新,协调,绿色,开放、共享,B
229,（）是永续发展的必要条件和人民对美好生活追求的重要体现。,创新,协调,绿色,开放、共享,C
230,（）发展，就是要解决好人与自然和谐共生问题，推进美丽中国建设。,创新,协调,绿色,开放、共享,C
231,（）是国家繁荣发展的必由之路。,创新、协调,绿色,开放,共享,C
232,（）是中国特色社会主义的本质要求。,创新、协调,绿色,开放,共享,D
233,共享的内涵主要包括四个方面，即：全民共享、全面共享、共建共享、（）。,高级共享,均衡共享,渐进共享,同步共享,C
234,一九三九年，毛泽东第一次提出“新民主主义革命”的科学概念的著作是(   ),《中国革命和中国共产党》,《在晋绥干部会议上的讲话》,《新民主主义论》,《论人民民主专政》,A
235, “因为中国资产阶级根本上与剥削农民的豪绅地主相混合，中国革命要推翻地主阶级，便不能不同时推翻资产阶级”。这一观点的主要错误是(   ),忽视了反对帝国主义的必要性,未能区分中国资产阶级的两部分,混淆了民主革命和社会主义革命的任务,不承认中国资产阶级与地主阶级的区别,C
236,在新民主主义的经济纲领中，包含着新民主主义革命和社会主义革命双重性质的内容是(   ),没收封建地主阶级的土地,土地革命路线,没收官僚资本,保护民族工商业,C
237,在新民主主义的经济纲领中，极具特色的一项内容是(   ),没收封建地主阶级的土地归农民所有,土地革命路线,没收官僚资本归新民主主义国家所有,保护民族工商业,D
238,“房子是应该经常打扫的，不打扫就会积满了灰尘，脸是应该经常洗的，不洗也就会灰尘满面。我们同志的思想、我们党的工作，也会沾染灰尘的，也应该打扫和洗涤。”这段话形象地反映了中国共产党在长期革命实践中历形成的(   ) ,密切联系群众的优良作风,艰苦奋斗的优良作风 ,理论联系实际的优良作风,批评与自我批评的优良作风,D
239,新民主主义革命理论的核心问题是（   ）,革命的动力,革命的前途,革命的领导权,革命的任务,C
240,土地革命战争时期，红色政权能够存在和发展的根本原因是                                                                                                      （    ）,中国是一个经济政治发展极端不平衡的半殖民地半封建大国,国民革命的政治影响及良好的群众基础,全国革命形势的继续发展,相当力量的正式红军的存在以及共产党组织的坚强有力领导,A
241,从鸦片战争到辛亥革命期间，中国人民所进行的反帝反封建的斗争 ，属于（   ）,旧民主主义革命范畴,新民主主义革命范畴,过渡时期,新民主主义社会,A
242,毛泽东指出，认清一切革命问题的基本的根据是(   ),正确分析中国社会的阶级状况,正确分析中国社会的经济结构,认清中国的国情,认清中国社会的主要矛盾,C
243, 近代中国的社会性质是(     ),封建社会,半殖民地半封建社会,资本主义社会,前资本主义社会,B
244,中国沦为半殖民地半封建社会的起点的战争是(   ),鸦片战争 ,第二次鸦片战争,甲午中日战争,八国联军侵华战争,A
245,帝国主义奴役近代中国的社会基础是(   ),封建势力,买办资产阶级, 小资产阶级, 民族资产阶级,A
246,近代中国社会最主要的矛盾是(   ) ,农民阶级和地主阶级的矛盾,帝国主义和中华民族的矛盾,人民大众和封建主义的矛盾,无产阶级和资产阶级的矛盾,B
247,由旧民主主义革命向新民主主义革命转变的标志是(   ),新文化运动,辛亥革命, “五四”运动,中国共产党的成立,C
248,毛泽东提出新民主主义革命的三大法宝的著作是(   ),《共产党人》发刊词,《论人民民主专政》,《新民主主义论》,《论联合政府》,A
249,新民主主义国家的政体是(   ),政治协商会议制度, 共产党领导的多党合作制度,人民代表大会制度,参议会制度 ,C
250,中国革命的领导阶级是(   ),工人阶级,农民阶级,小资产阶级,民族资产阶级,A
251,中国革命最基本的动力是(   ),无产阶级,农民,小资产阶级,民族资产阶级,A
252,中国无产阶级最可靠的同盟军是(   ),农民阶级,城市小资产阶级, 民族资产阶级,开明士绅,A
253,近代中国民主革命的主力军是(   ),工人阶级,知识分子,农民阶级,民族资产阶级,C
254,近代中国带有两面性的阶级是(   ),大资产阶级,小资产阶级,民族资产阶级,地主阶级,C
255,秋收起义后毛泽东创建的第一个农村革命根据地是(   ),井冈山根据地,左右江根据地,闽西根据地,中央根据地,A
256,不属于新民主主义革命时期的统一战线的是(   ),工农民主统一战线, 抗日民族统一战线,人民民主统一战线,新时期爱国统一战线,D
257,新民主主义革命区别于旧民主主义革命的根本标志是(   ),革命的动力,革命的目标, 革命的对象,革命的领导权,D
258,毛泽东提出“须知政权是由枪杆子中取得的”的著名论断是在(   ),八七会议,古田会议,遵义会议,瓦窑堡会议,A
259,中国共产党领导的新民主主义革命的根本目的是(   ),解放被束缚的生产力,建立新民主主义的人民共和国,改变中国半殖民地半封建社会的面貌,推翻帝国主义、封建主义和官僚资本主义的统治 ,A
260,新民主主义革命的前途是(   ),共产主义,社会主义,新民主主义,资本主义,B
261,新民主主义革命的主要内容是(   ),武装斗争,没收封建地主阶级的土地归农民所有,建设农村根据地,政权建设,B
262,中国革命的首要对象(   ),大资产阶级,民族资产阶级,封建势力,帝国主义,D
263,中国共产党在领导人民革命的过程中，积累了丰富的经验，武装斗争就是战胜敌人的重要法宝之一，其实质是（   ）,无产阶级的反帝国主义战争,资产阶级领导的反封建战争,工农联合的反军阀战争,工人阶级领导的农民战争,D
264,中国革命的中心问题是（   ）,无产阶级的领导权,团结革命动力,认清革命对象,明确革命目标,   A
265,新民主主义革命的首要问题是（）,分清敌友,团结农民阶级,坚持中国共产党的领导,正确分析民族资产阶级的两面性,A
266,开辟世界无产阶级社会主义革命新纪元的一次革命是指（）,五四运动,俄国十月革命,太平天国运动,新民主主义革命,B
267,毛泽东在哪本著作中阐明了其新民主主义的政治、经济、文化纲领（）,《论联合政府》,《新民主主义论》,《井冈山的斗争》,《论人民民主专政》,B
268,以毛泽东为主要代表的中国共产党人在实践中总结出来的关于中国革命道路问题的科学概念是（） ,农村包围城市思想,坚持党的领导思想,工农武装割据思想,党的基本路线思想,C
269,毛泽东建军思想的核心是（）,"坚持党对军队的绝
对领导","坚持全心全意为人民服务的军队

",坚持正确的战略原则,加强人民军队建设,A
270,我国对资本主义工商业的社会主义改造基本完成的标志是（   ）,加工订货的实行,单个企业公私合营的实现,统购包销的实行,全行业公私合营的实现,D
271,我国进入社会主义社会的时间是（    ）,中华人民共和国成立之后,全国土地改革基本完成之后,过渡时期总路线的提出之后,社会主义改造基本完成之后,D
272,我国建国初期属于(   ),新民主主义社会,社会主义社会,资本主义社会,半殖民地半封建社会,A
273,我国建国初期政权的性质是(   ),无产阶级专政,农民阶级专政,资产阶级专政,各革命阶级联合专政,D
274,在我国，剥削阶级和剥削制度被消灭的标志是(   ),中华人民共和国的建立,全国大陆的统一,社会主义改造的完成,土地改革的完成,C
275,一九五三年到一九五六年国内的主要矛盾是(   ),中国人民同国民党残余势力、地主阶级和帝国主义的矛盾,工人阶级同资产阶级的矛盾、社会主义道路同资本主义道路的矛盾,人民日益增长的物质文化生活需要同落后的社会生产之间的矛盾,帝国主义和中华民族的矛盾、封建主义同人民大众的矛盾,B
276,中国民族资产阶级在社会主义改造时期仍有两面性，其表现为(   ),革命性和妥协性,主动性和被动性,剥削工人的一面和接受党的领导的一面,进步性和顽固性,C
277,党在过渡时期总路线最显著的特点是(   ),实行社会主义建设和改造同时并举,用和平方法改造民族工商业,以实现社会主义工业化为主要目标,符合当时的基本国情，反映了新民主主义向社会主义转变的历史必然性,A
278,我国在对民族资本主义工商业实行全行业公私合营后采取的赎买政策是(   ),四马分肥,定息,加工订货、统购统销,国家资本主义,B
279,我国对民族资本主义工商业的社会主义改造的高级形式是(   ),委托加工,计划订货,统购包销、经销代销,全行业公私合营,D
280,三大改造的实质是(   ),实行农业合作化,建立国营经济,改变生产资料私有制,恢复国民经济,C
281,党在过渡时期的总路线和总任务是(    ),无产阶级领导的、人民大众的，反对帝国主义、封建主义、官僚资本主义的革命,在一相当长的时期内，逐步实现国家的社会主义工业化，并逐步实现国家对农业、手工业和资本主义工商业的社会主义改造,鼓足干劲，力争上游，多快好省地建设社会主义,以经济建设为中心，坚持四项基本原则，坚持改革开放，自力更生，艰苦创业，为把中国建设成富强、民主、文明的社会主义现代化国家而奋斗。,B
282,一九五三年提出的过渡时期总路线的过渡时期是指(   ),从中华人民共和国成立，到社会主义建成,从国民经济恢复，到社会主义改造完成,从中华人民共和国成立，到社会主义改造基本完成,从总路线提出起，到建成社会主义,C
283,一九五三年九月，毛泽东在对民主党派和工商界部分代表讲话时指出：改造资本主义工商业和逐步完成社会主义过渡的必经之路是(   ),剥夺资本家的财产,排挤私营工商业,国家资本主义,保护民族工商业,C
284,在社会主义改造中，中国共产党对资本主义工商业所采取的政策是(   ),利用,没收,限制,和平赎买,D
285,新中国在对资本主义工商业实行社会主义改造的过程中，在利润分配上采取的政策是(   ),统筹兼顾,劳资两利,公私兼顾,四马分肥,D
286,党的过渡时期总路线的主体是(   ),三大改造,社会主义革命和社会主义建设同时并举,社会主义工业化建设,对农业的社会主义改造,C
287,下面关于社会主义改造不正确的论述有(   ),社会主义改造的基本完成标志着社会主义制度在中国的确立,社会主义改造的基本完成实现了中国历史上最广泛最深刻的社会变革,社会主义改造的基本完成为中国的社会主义现代化建设奠定了基础,社会主义改造的基本完成标志中国已经建成了社会主义,D
288,党对农业的社会主义改造采取了循序渐进的步骤，逐步实现过渡。其中第二步是组织(   ),农业生产变工队,农业生产互助组,初级农业生产合作社,高级农业生产合作社,C
289,我国在对农业和手工业进行社会主义改造时采取的方针是(   ),积极领导、稳步前进,利用、限制、改造,和平赎买,自愿互利、典型示范和国家帮助,A
290,对资本主义工商业实行社会主义改造，使资本主义所有制过渡到社会主义公有制具有决定意义的重大步骤是(   ),委托加工,计划订货,统购包销,全行业公私合营,D
291,社会主义过渡时期总路线错误的说法是(   ),主要内容是“一化三改”,过渡时期结束的标志是社会主义改造结束,以单一的社会主义公有制为目标,以中国特色社会主义为目标,D
292,我国从新民主主义到社会主义的过渡时期，个体经济向社会主义集体经济过渡的形式是(   ),国营经济,私人资本主义经济,合作社经济,国家资本主义经济,C
293,中国历史上最深刻最大的社会变革是指（）,社会主义基本制度的确立,三大改造,新中国的成立,新民主主义革命,         A
294,在对资本主义工商业改造中，国家对资方在职人员和资方代理人所采取的原则是指（）,量才适用，适当照顾,改造,包下来,利用,         A
295,“工人革命的第一步就是使无产阶级上升为统治阶级，争得民主”出自以下哪一本著作（）,《关于农业生产互助合作的决议》,《共产党宣言》,《毛泽东文集》,"《关于党在过渡时期总路线的学习和宣传提纲》
",     B
296,社会主义改造中，中国共产党对待农民的方法是（）,引导、说服、教育,改造、教育,剥夺,引导、改造,  A
297,党的十八大提出建设中国特色社会主义的总体布局是（）,“两手抓”,“三位一体”,“四位一体”,“五位一体”,D
298,“五位一体”将勾勒出一幅（）的社会主义现代化强国壮美景象。,富强文明自由和谐美丽,富裕民主文明和谐美丽,富强民主文明和谐生态,富强民主文明和谐美丽,D
299,实现社会主义现代化和中华民族伟大复兴的中国梦，科学的发展理念和（）必不可缺。,发展战略,发展战术,发展思维,发展思想,A
300,新发展理念是是习近平新时代中国特色社会主义（）思想的主要内容。,经济,政治,文化,社会,A
301,坚持开放发展，就要努力提髙我国在全球经济治理中的（），构建广泛的利益共同体。,理论性话语权,制度性话语权,道路性话语权,文化性话语权,B
302,贯彻新发展理念、建设现代化经济体系必须坚持（）结构性改革。,供给侧,需求侧,全要素,全动能,A
303,只有推进供给侧结构性改革，提髙（）体系质量，才能推动经济高质量发展。,生产,供给,消费,需求,B
304,深化供给侧结构性改革，必须持续推进（），优化市场供求结构。,“一去一降一补”,“二去一降一补”,“三去一降一补”,“四去一降一补”,C
305,伴随中国特色社会主义进入新时代，我国经济已由高速增长阶段转向（）发展阶段。,高数量,高质量,高供给,高需求,B
306,只有形成现代化（）体系，才能更好顺应现代化发展潮流和赢得国际竞争主动，也才能为其他领域现代化提供有力支撑。,经济,政治,文化,社会,A
307,现阶段我国经济发展主要矛盾已转化成结构性问题，矛盾的主要方面在（  ）,增长侧,需求侧,供给侧,市场侧,C
308,建设现代化经济体系，必须建设创新引领、协同发展的（）。,产业体系,市场体系,收入分配体系,城乡区域发展体系,A
309,建设现代化经济体系，必须建设统一开放、竞争有序的（）。,产业体系,市场体系,收入分配体系,城乡区域发展体系,B
310,建设现代化经济体系，必须建设体现效率、促进公平的（）。,产业体系,市场体系,收入分配体系,城乡区域发展体系,C
311,建设现代化经济体系，必须建设彰显优势、协调联动的（）。,产业体系,市场体系,收入分配体系,城乡区域发展体系,D
312,建设现代化经济体系，必须建设资源节约、环境友好的（）。,产业体系,市场体系,绿色发展体系,城乡区域发展体系,C
313,建设现代化经济体系，必须建设多元平衡、安全髙效的（）。,产业体系,市场体系,绿色发展体系,全面开放体系,D
314,建设现代化经济体系，必须建设充分发挥市场作用、更好发挥政府作用的（）体制。,经济,政治,文化,社会,A
315,优化现代化经济体系的空间布局，必须实施好（）。,创新驱动发展战略,区域协调发展战略,科教兴国战略,人才强国战略,B
316,党的领导是人民当家作主和依法治国的（）。,基本保证,根本保证,基本特征,根本特征,B
317,人民当家作主是社会主义民主政治的（）。,基本保证,根本保证,基本特征,本质特征,D
318,依法治国是党领导人民治理国家的（）。,基本保证,根本保证,基本方式,根本方式,C
319,坚持党的领导，就要发挥党总揽全局、协调各方的（）作用。,领导核心,主要领导,基本领导,基础领导,A
320,（）是坚持党的领导、人民当家作主、依法治国有机统一的根本政治制度安排。,人民代表大会制度,中国共产党领导的多党合作和政治协商制度,民族区域自治制度,基层群众自治制度,A
321,中国共产党领导的多党合作和政治协商制度是我国的一项（）。,根本政治制度,基本政治制度,基础政治制度,基层政治制度,B
322,（）是社会主义协商民主的重要渠道和专门协商机构。,人大常委会,人民政协,纪委,统战部,B
323,完善基层群众自治制度，发展基层民主，是社会主义民主政治建设的（）。,根本,重点,核心,基础,D
324,巩固和发展爱国统一战线，必须牢牢把握（）的主题，找到最大公约数，画出最大同心圆。,大团结,大统一,大团结大联合,大团结大统一,C
325,建设中国特色社会主义文化，必须巩固（）在意识形态领域的指导地位，牢牢掌握意识形态工作领导权。,西方马克思主义,马克思主义,马克思主义哲学,马克思主义政治经济学,B
326,富强、民主、文明、和谐，自由、平等、公正、法治，爱国、敬业、诚信、友善，是社会主义核心价值观的（）。,基本追求,基本要求,基本精神,基本内容,D
327,富强、民主、文明、和谐，自由、平等、公正、法治，爱国、敬业、诚信、友善，是（）的集中体现。,当代中国精神,当代世界精神,传统中国精神,传统世界精神,A
