,题干,A,B,C,D,答案
858,党的()正式把建立社会主义市场经济体制确立为我国经济体制改革的目标。,十三大,十四大,十五大,十六大,B
859,()全会通过的《关于建立社会主义市场经济体制若干问题的决定》，勾画了建立社会主义市场经济体制的蓝图和基本框架。,十四届三中全会,十四届二中全会,十四届六中全会,十四届五中全会,A
860,建立社会主义市场经济体制，必须坚持和完善公有制为主体、多种所有制经济（）的社会主义基本经济制度。,并存,共同发展,相互促进,协同发展,B
861,要在更大程度上发挥市场在资源配置中的基础性作用，健全（）的现代市场体系，促进商品和生产要素在全国市场自由流动。,开放、和谐、创新、发展,统一、开放、竞争、有序,竞合、包容、互利、互惠,自由、平等、和谐、共处,B
862,江泽民对全面建设小康社会、实现第三步战略目标进行了前瞻性的战略思考。他在党的（）报告中初步勾画了实现第三步战略目标的蓝图：,十三大,十四大,十五大,十六大,C
863,十五届五中全会进一步提出，从（）开始，我国将进入全面建设小康社会、加快推进社会主义现代化的新的发展阶段。,二十世纪前十年,建党一百年,建国一百年,新世纪,D
864,建设社会主义政治文明涉及政治思想、政治制度、（）、法制建设等方面，是一个系统工程。,体制改革,行政管理,社会治理,政治生态,B
865,在建设社会主义政治文明过程中，依法治国是党领导人民治理国家的()。,本质要求,重要前提,基本方略,核心问题,C
866,依法治国，是党领导人民治理国家的基本方略，是发展社会主义市场经济的客观需要，是（）的重要标志，是国家长治久安的重要保障。,社会文明进步,社会发展,文明演进,社会历史发展,A
867,依法治国，要适应社会主义市场经济发展、社会全面进步的新形势，加强（），提高（），形成中国特色社会主义法律体系。,立法工作、工作质量,立法质量、执法工作,立法水平、立法建设,立法工作、立法质量,D
868,政治体制改革要着重加强()，实现社会主义民主政治的制度化、规范化和程序化。,社会建设,司法建设,制度建设,执法建设,C
869,发展社会主义民主政治，必须在坚持（）的前提下，继续积极稳妥地推进政治体制改革,邓小平思想,毛泽东理论,四项基本原则,改革开放,C
870,坚持中国共产党的领导，就是要坚持党在建设中国特色社会主义事业中的（）地位，发挥党总揽全局、协调各方的作用。,政治,重要,领导核心,思想领导,C
871,推进党的建设新的伟大工程要求我们：一定要坚持党要管党、从严治党的方针，进一步解决提高党的领导水平和()、提高拒腐防变和抵御风险能力这两大历史性课题,执行能力,执政能力,建设能力,管理能力,B
872,从严治党，最根本的就是党的各级组织和全体党员、干部，都要做到严格按照（）办事，按照党内政治生活准则和党的各项规定办事。,党章,执政能力,方针,条例,A
873,坚决反对和防止腐败是全党一项重大的政治任务，是关系党和国家生死存亡的（）。,重大问题,政治问题,思想问题,严重政治斗争,D
874,坚持和完善反腐败领导体制和工作机制，认真落实()，形成防止和惩治腐败的合力。,党风廉政建设责任制,三讲教育,腐败教育,各项监督,A
875,“三个代表”重要思想是中国特色社会主义理论体系的重要组成部分。始终做到“三个代表”，是我们党的立党之本、（）、力量之源。,发展之基,执政之基,创新之力,建党之旨,B
876,“三个代表”重要思想坚持把人民的根本利益作为出发点和归宿，提出“（）的利益是最紧要和最具有决定性的因素”。,人民,多数人,最大多数人,全体公民,C
877,"“三个代表”重要思想强调要努力促进(),这同推进经济、文化的发展和改善人民物质文化生活，是互为前提和基础的。",以人为本,科学发展,执政为民,人的全面发展,D
878,“三个代表”重要思想，形成了崭新的马克思主义建党学说，回答了我们党（）一个重大历史性问题。,建设成为一个什么样的党和怎样建设党,如何执政,如何发展,如何创新,A
879,“三个代表”重要思想把发展先进生产力、发展先进文化和实现最广大人民的根本利益统一起来，从深层次上揭示了（）。,社会主义的本质,社会主义制度不断完善和发展的途径,社会主义核心价值观,如何建设社会主义,B
880,始终代表中国最广大人民的根本利益，强调以人民群众的利益、要求和实践为最高价值标准和评价标准，体现了我们党的（）和我们国家的（）。,宗旨、性质,目标、追求,价值观、宗旨,水平、体制,A
881,在“三个代表”重要思想的指导下，我们党和国家推进社会主义()改革，进一步消除了束缚生产力发展的体制性障碍,计划经济,市场经济,机制体制,政治体制,B
882,"在“三个代表”重要思想的指导下,积极稳妥地推进政治体制改革，建设社会主义（），促进了社会主义政治制度的自我完善和发展。",精神文明,政治文明,物质文明,生态文明,B
883,“三个代表”重要思想提出了党的建设的新要求，必须使全党始终保持（）的精神状态，不断开拓马克思主义理论发展的新境界。,求真务实,实事求是,积极创新,与时俱进,D
884,“三个代表”重要思想从新的高度提出必须改进党的领导方式和执政方式，既保证党委的（）作用，又充分发挥人大、政府、政协以及人民团体和其他方面的职能作用。,领导核心,带头,引导,各项监督,A
885,“三个代表”重要思想反映了当代世界和中国的发展变化对党和国家工作的新要求，是加强和改进党的建设、推进我国社会主义自我完善和发展的强大理论武器，是党和国家必须长期坚持的（）。,核心思想,指导思想,根本思想,积极思想,B
886,党的（）报告首次提出“中国特色社会主义理论体系”的科学概念。,十五大,十六大,十七大,十八大,C
887,在当代中国，坚持发展是硬道理的本质要求，就是坚持（）。,科学发展,协调发展,可持续发展,全面发展,A
888,科学发展观，第一要义是（）。,增长,发展,科学发展,协调,B
889,（）是解决中国一切问题的“总钥匙”。,经济,发展,进步,增长,B
890,科学发展观的核心立场是（）。,为人民服务,以人为本,科学发展,以人民为中心,B
891,科学发展观的根本方法是（）。,统筹经济社会发展,统筹城乡发展,统筹兼顾,科学发展,C
892,科学发展观的基本要求是（）。,以人为本,统筹兼顾,全面发展,全面协调可持续,D
893,科学发展中强调的以人为本的“人”是指（）。,人民群众,农民,工人,知识分子,A
894,坚持以人为本，最终是为了实现（）。,经济的更快发展,人的全面发展,社会协调,共产主义,B
895,科学发展观强调，（）是加快转变经济发展方式的关键。,实施创新驱动发展战略,掌握关键性的核心技术,社会和谐,全面深化经济体制改革,D
896,科学发展观强调，（）是解决“三农”问题的根本途径。,推动城乡一体化,推进城镇化,加快农民市民化,推动农村工业化,A
897,（）是社会主义的生命。,社会稳定,人民民主,依法治国,以德治国,B
898,社会主义民主的本质和核心是（）。,协商民主,人民当家做主,党的领导,依法治国,B
899,（）是民族的血脉，是人民的精神家园。,文化,汉字,语言,意识形态,A
900,（）是中国特色社会主义的本质属性。,经济发达,政治清明,文化丰富,社会和谐,D
901,（）是人和社会持续发展的根本基础。,良好生态环境,丰富的物质基础,先进文化,发达的科学技术,A
902,（）是党领导的事业不断取得胜利的重要法宝。,党的建设,军队建设,反腐倡廉建设,政治建设,A
903,（）建设是党执政后的一项根本建设。,作风建设,执政能力,思想建设,组织建设,B
904,（）是马克思主义政党自身建设的本质属性。,革命性,纯洁性,斗争性,先进性,D
905,（）是兴国之魂，决定着中国特色社会主义发展方向。,社会主义文化,先进文化,传统文化,社会主义核心价值体系,D
906,（）是人类文明进步的基础。,科学技术,文化,资源,发展,D
907,党的十八大提出建设中国特色社会主义的总体布局是（）,“两手抓”,“三位一体”,“四位一体”,“五位一体”,D
908,“五位一体”将勾勒出一幅（）的社会主义现代化强国壮美景象。,富强文明自由和谐美丽,富裕民主文明和谐美丽,富强民主文明和谐生态,富强民主文明和谐美丽,D
909,实现社会主义现代化和中华民族伟大复兴的中国梦，科学的发展理念和（）必不可缺。,发展战略,发展战术,发展思维,发展思想,A
910,新发展理念是是习近平新时代中国特色社会主义（）思想的主要内容。,经济,政治,文化,社会,A
911,坚持开放发展，就要努力提髙我国在全球经济治理中的（），构建广泛的利益共同体。,理论性话语权,制度性话语权,道路性话语权,文化性话语权,B
912,贯彻新发展理念、建设现代化经济体系必须坚持（）结构性改革。,供给侧,需求侧,全要素,全动能,A
913,只有推进供给侧结构性改革，提髙（）体系质量，才能推动经济高质量发展。,生产,供给,消费,需求,B
914,深化供给侧结构性改革，必须持续推进（），优化市场供求结构。,“一去一降一补”,“二去一降一补”,“三去一降一补”,“四去一降一补”,C
915,伴随中国特色社会主义进入新时代，我国经济已由高速增长阶段转向（）发展阶段。,高数量,高质量,高供给,高需求,B
916,只有形成现代化（）体系，才能更好顺应现代化发展潮流和赢得国际竞争主动，也才能为其他领域现代化提供有力支撑。,经济,政治,文化,社会,A
917,现阶段我国经济发展主要矛盾已转化成结构性问题，矛盾的主要方面在（  ）,增长侧,需求侧,供给侧,市场侧,C
918,建设现代化经济体系，必须建设创新引领、协同发展的（）。,产业体系,市场体系,收入分配体系,城乡区域发展体系,A
919,建设现代化经济体系，必须建设统一开放、竞争有序的（）。,产业体系,市场体系,收入分配体系,城乡区域发展体系,B
920,建设现代化经济体系，必须建设体现效率、促进公平的（）。,产业体系,市场体系,收入分配体系,城乡区域发展体系,C
921,建设现代化经济体系，必须建设彰显优势、协调联动的（）。,产业体系,市场体系,收入分配体系,城乡区域发展体系,D
922,建设现代化经济体系，必须建设资源节约、环境友好的（）。,产业体系,市场体系,绿色发展体系,城乡区域发展体系,C
923,建设现代化经济体系，必须建设多元平衡、安全髙效的（）。,产业体系,市场体系,绿色发展体系,全面开放体系,D
924,建设现代化经济体系，必须建设充分发挥市场作用、更好发挥政府作用的（）体制。,经济,政治,文化,社会,A
925,优化现代化经济体系的空间布局，必须实施好（）。,创新驱动发展战略,区域协调发展战略,科教兴国战略,人才强国战略,B
926,党的领导是人民当家作主和依法治国的（）。,基本保证,根本保证,基本特征,根本特征,B
927,人民当家作主是社会主义民主政治的（）。,基本保证,根本保证,基本特征,本质特征,D
928,依法治国是党领导人民治理国家的（）。,基本保证,根本保证,基本方式,根本方式,C
929,坚持党的领导，就要发挥党总揽全局、协调各方的（）作用。,领导核心,主要领导,基本领导,基础领导,A
930,（）是坚持党的领导、人民当家作主、依法治国有机统一的根本政治制度安排。,人民代表大会制度,中国共产党领导的多党合作和政治协商制度,民族区域自治制度,基层群众自治制度,A
931,中国共产党领导的多党合作和政治协商制度是我国的一项（）。,根本政治制度,基本政治制度,基础政治制度,基层政治制度,B
932,（）是社会主义协商民主的重要渠道和专门协商机构。,人大常委会,人民政协,纪委,统战部,B
933,完善基层群众自治制度，发展基层民主，是社会主义民主政治建设的（）。,根本,重点,核心,基础,D
934,巩固和发展爱国统一战线，必须牢牢把握（）的主题，找到最大公约数，画出最大同心圆。,大团结,大统一,大团结大联合,大团结大统一,C
935,建设中国特色社会主义文化，必须巩固（）在意识形态领域的指导地位，牢牢掌握意识形态工作领导权。,西方马克思主义,马克思主义,马克思主义哲学,马克思主义政治经济学,B
936,富强、民主、文明、和谐，自由、平等、公正、法治，爱国、敬业、诚信、友善，是社会主义核心价值观的（）。,基本追求,基本要求,基本精神,基本内容,D
937,富强、民主、文明、和谐，自由、平等、公正、法治，爱国、敬业、诚信、友善，是（）的集中体现。,当代中国精神,当代世界精神,传统中国精神,传统世界精神,A
938,社会主义核心价值观是（）的内核凝练和集中表达。,马克思主义理论体系,社会主义理论体系,社会主义思想体系,社会主义核心价值体系,D
939,培育和践行社会主义核心价值观，要把社会主义核心价值观融入（）各个方面。,政治生活,经济生活,文化生活,社会生活,D
940,在发展中保障和改善民生，就是要多谋民生之利、多解民生之忧，在发展中补齐民生短板、促进社会公平正义，抓民生要抓住人民最关心最直接最现实的（）问题。,房价,教育,利益,医疗,C
941,（）是人民生存的经济基础和基本保障，是最大的民生工程、民心工程、根基工程。,教育,医疗,就业,住房,C
942,社会治理的重心要向基层下移，落实到城乡（）。,街道,社区,楼道,居民,B
943,生态文明的核心是坚持（）和谐共生。,人与人,自然与自然,人与自然,人与环境,C
944,人与自然是生命共同体。我国积极推动绿色发展，促进人与自然（  ）,和谐共生,和谐共处,稳定发展,对立统一,A
945,全面建成小康社会是中国共产党的第（）个百年奋斗目标。,一,二,三,四,A
946,全面建成小康社会，更重要、更难做到的是（）。“小康”讲的是发展水平，“全面”讲的是发展的平衡性、协调性、可持续性。,全面,建成,小康,发展,A
947,全面建成小康社会，“小康”讲的是（）。,丰衣足食,国家富强,民族振兴,发展水平,D
948,全面小康，覆盖的领域要全面，是（）全面进步的小康。,“四位一体”,“五位一体”,“六位一体”,“七位一体”,B
949,全面建成小康社会，“全面”讲的是（）。,发展的平衡性、协调性、可持续性,总量和速度上完成了目标,多样性,发展水平,A
950,“小康不小康，关键看老乡”，“没有全民小康，就没有全面小康”的意思是：（）。,农村要领导小康社会建设,只要农村居民小康了，小康社会就实现了,全面小康需要得到农民认可,全面小康，覆盖的人口要全面，是惠及包括农民在内全体人民的小康。,D
951,新中国成立以来特别是改革开放以来，党带领人民进行了艰辛探索，创造了中国式现代化新道路，创造了（），实现了人类历史上前所未有的大变革。,共产主义新形态,历史的终结,人类文明新形态,社会主义新形态,C
952,党的十九大把（）和防范化解重大风险、污染防治一道作为决胜全面建成小康社会的三大攻坚战进行全面部署。,打造网络清朗空间,脱贫攻坚,金融安全,全方位外交,B
953,到2020年底，我国消除了（），完成了全面建成小康社会最艰巨最繁重的任务，为实现全面建成小康社会目标任务作出了关键性贡献、打下了坚实基础。,区域性贫困,绝对贫困 ,相对贫困,群体性贫困,B
954,要破解发展中面临的难题，化解来自各方面的风险挑战，推动经济社会持续健康发展，必须依靠（）。,全面建成小康社会,全面深化改革,全面依法治国,全面从严治党,B
955,坚持什么样的改革（），决定着改革的性质和最终成败,方向,目标,手段,措施,A
956,改革能否顺利推进，关键（）。,取决于人民的支持,取决于目标的坚定,取决于经济的发展,取决于党，取决于党的集中统一领导,D
957,党的（）全会通过了《中共中央关于全面深化改革若干重大问题的决定》，提出全面深化改革的总目标是完善和发展中国特色社会主义制度，推进国家治理体系和治理能力现代化。,十八大,十八届二中,十八届三中,十八届四中,C
958,国家治理体系和治理能力是一个国家的制度和制度执行能力的集中体现，两者（）。,是一样的,相辅相成,方向一致,对立统一,B
959,能否构建具有强大感召力的（），关系社会和谐稳定，关系国家长治久安。,领导核心,道德文化,社会风俗,核心价值观,D
960,（）是当代中国发展进步的活力之源，是坚持和发展中国特色社会主义的必由之路。,改革开放,党的领导,四项基本原则,人民主体地位,A
961,全面深化改革，整体推进、协同改革不是平均用力、齐头并进，也要注重抓主要矛盾和矛盾的主要方面，注重（）。,抓重要领域和关键环节,重要目标和重点领域,方向和措施,主要方面和关键节点,A
962,全面深化改革能否顺利推进，关键取决于党，取决于（）。,党内民主,党的反腐败事业,党的集中统一领导,党内法规建设,C
963,全面深化改革，坚持把改革的力度、（）和社会可承受的程度统一起来,发展的水平,发展的目标,发展的措施,发展的速度,D
964,新时代的全面深化改革具有许多新的内涵和特点，其中很重要的是（）分量更重。,问计于民,制度建设,经济指标,行政效能,B
965,全面深化改革要把（）作为正确处理改革发展稳定关系的结合点,提高生产力,改善人民生活,产生经济效益,国家综合实力,B
966,全面深化改革，必须坚定（）立场。,人民,党的,国家利益,社会主义,A
967,（）是中国特色社会主义的本质要求和重要保障。,全面建设社会主义现代化强国,全面深化改革,全面依法治国,全面从严治党,C
968,（）明确把依法治国确立为治理国家的基本方略，把建设社会主义法治国家确定为社会主义现代化建设的重要目标。,党的十四大,党的十五大,党的十六大,党的十七大,B
969,1999年3月，九届全国人大二次会议通过的《中华人民共和国宪法修正案》将（）正式写入宪法。,以法治国,依法制国,依法治国,依宪治国,C
970,2010年，中国已经形成了以（）为核心的中国特色社会主义法律体系，为改革开放和社会主义现代化建设提供了有力的法治保障。,民主,法律,法制,宪法,D
971,2014年十八届四中全会通过了（），明确提出全面推进依法治国，加快建设法治中国，开启了中国特色社会主义法治道路的新征程。,《关于全面推进依法制国若干重大问题的决定》,《关于全面推进依法治国若干重大问题的决定》,《关于全面推进以法治国若干重大关系问题的决定》,《关于全面推进依宪治国若干重大问题的决定》,B
972,（）是社会主义法治最根本的保证。,党的领导,公平正义,依法治国,社会和谐,A
973,建设中国特色社会主义法治体系，首先是（）。,加强法治专门队伍和法律服务队伍建设,要建立严密的法治监督体系,要完善以宪法为核心的中国特色社会主义法律体系,要加强党内法规制度建设,C
974,新时代党的建设总要求是坚持和加强党的全面领导，坚持党要管党、全面从严治党，以（）为主线。,加强党的长期执政能力建设、先进性和纯洁性建设,党的政治建设,坚定理想信念宗旨,调动全党积极性、主动性、创造性,A
975,新时代党的建设要以（）为统领。,思想建设,组织建设,作风建设,政治建设,D
976,党的政治建设是党的根本性建设，决定（）。,党的建设方向和效果,党的建设的目标和价值,党的建设的方向和价值,党的建设的途径和方法,A
977,党的政治建设的首要任务是（）。,坚定执行党的政治路线，严格遵守政治纪律和政治规矩,保证全党服从中央，坚持党中央权威和集中统一领导,要尊崇党章，严格执行新形势下党内政治生活若干准则,完善和落实民主集中制的各项制度，坚持民主基础上的集中和集中指导下的民主相结合,B
978,（）是党的基础性建设,政治建设,组织建设,思想建设,制度建设,C
979,（）的核心是保持党同人民群众的血肉联系。,作风建设,思想建设,组织建设,政治建设,A
980,严明党的纪律，首要的是严明（）纪律。,思想,组织,政治,生活,C
981,加强（）建设是全面从严治党的长远之策、根本之策。,思想,制度,组织,政治,B
982,党的干部是党和国家事业的中坚力量，党坚持党管干部原则，坚持正确选人用人导向，突出（），提拔重用忠诚干净担当的干部。,经济导向,文化素质,道德水平,政治标准,D
983,新时代党的好干部标准是（）。,信念坚定、为民服务、勤政务实、敢于担当、清正廉洁,有理想、有道德、有文化、有素质,年轻化、革命化、专业化,政治过硬、经济能干、文化素质高,A
984,党的（）通过了《中共中央关于党的百年奋斗重大成就和历史经验的决议》,十九大,十九届三中全会,十九届五中全会,十九届六中全会,D
985,党的第二个百年奋斗目标是（）,全面建成社会主义现代化强国,全面建成社会主义现化代国家,全面建设社会主义现代化强国,全面建设社会主义现代化国家,A
986,（）竞争是国家间根本的竞争。,文化,制度,科技,军事,B
987,我国国家制度和国家治理体系具有()个方面的显著优势,8,10,13,14,C
988,邓小平曾经指出，和平问题是东西问题，（）问题是南北问题。,战争,发展,稳定,经济发展,B
989,邓小平理论形成的时代背景是（）成为时代主题。,和平,发展,和平与发展,经济建设,C
990,“文革”结束后，党的（）重新确立解放思想、实事求是的思想路线。,十一届三中全会,十二大,十三大,十四大,A
991,邓小平在党的（）开幕词中首次明确提出中国特色社会主义这一命题。,十一大,十二大,十三大,十四大,B
992,党的十三大，第一次比较系统地论述了我国（）理论。,社会主义初级阶段,经济建设,政治体制改革,文化发展,A
993,"1984年党的十二届三中全会作出了《关于经济体制改革的决定》，
提出社会主义经济是公有制基础上的有计划的（）。",市场经济,商品经济,计划经济,社会主义市场经济,B
994,党的（）正式提出了“邓小平理论”这一概念。,十四大,十五大,十六大,十七大,B
995,我国社会主义初级阶段是（    ）。,任何国家进入社会主义都必然经历的起始阶段,特指我国在生产力落后，商品经济不发达条件下建设社会主义必然要经历的阶段,由新民主主义向社会主义过渡的阶段,由半殖民地、半封建社会向社会主义社会过渡的阶段,B
996,党的十三大报告提出党在社会主义初级阶段的（）。,基本路线,基本纲领,基本方针,基本政策,A
997,以经济建设为中心，回答了社会主义的（）问题。,根本目标,根本任务,本质特征,基本目标,B
998,坚持四项基本原则，回答了解放和发展生产力的（）问题。,政治保证,政治保障,理论前提,发展动力,A
999,坚持改革开放，回答了社会主义的（）和外部条件问题。,发展目标,发展动力,发展道路,发展方向,B
1000,"“领导和团结全国各族人民”，这是实现社会主义现代化奋斗目标的
领导力量和（）。",基础力量,根源源泉,依靠力量,保障力量,C
1001,自力更生、艰苦奋斗，这是实现社会主义初级阶段奋斗目标的（）。,基本前提,基本保证,根本立足点,根本着力点,C
1002,我国社会主义初级阶段的主要矛盾是（    ）。,工人阶级与资产阶级之间的矛盾,人民日益增长的美好生活需要和落后的社会生产之间的矛盾,促进效率提高与体现社会公平之间的矛盾,人口增长与经济发展不相适应的矛盾,B
1003,（）是社会发展的最根本的决定性因素。,生产力,生产关系,阶级斗争,劳动力,A
1004,社会主义的根本任务是（）。,阶级斗争,发展,发展生产力,提高人民生活水平,C
1005,把“和谐”与“富强民主文明”一起写入了社会主义初级阶段基本路线的是（    ）。,党的十七大,党的十六大,党的十五大,党的十四大,A
1006,"把“美丽”与“富强民主文明和谐”一起写入了社会主义初级阶段
基本路线的是（    ）。",党的十七大,党的十六大,党的十五大,党的十八大,D
1007,根据邓小平提出的“三步走”发展战略，我国到21世纪中叶的战略目标是（        ）。,全面建成小康社会,基本接近发达国家水平，生活比较富裕,基本实现现代化，达到中等发达国家的水平,物质文明与精神文明基本协调发展,C
1008,改革是社会主义社会发展的（）。,直接动力,强大动力,力量源泉,内生动力,A
1009,我国经济体制改革的核心问题是如何正确认识和处理（）的关系。,计划与市场,资本主义和社会主义,发展速度和效益,稳定与发展,A
1010,“和平统一、一国两制”的核心是（）。,实行两种制度,坚持一个中国,和平统一,祖国统一,B
1011,“一国两制”伟大构想的提出是从解决（）问题开始的。,香港,澳门,金门,台湾,D
1012,“一国两制”伟大构想在实践中首先运用于解决（）问题、澳门问题。,香港,马祖,金门,台湾,A
1013,建设中国特色社会主义，关键是坚持、加强和改善（）。,政府领导,市场作用,党的领导,人大政协作用,C
1014,（）是中国特色社会主义理论体系的开篇之作。,毛泽东思想,邓小平理论,“三个代表”重要思想,科学发展观,B
1015,邓小平曾经指出，实现现代化，关键是（）。,人才,科教兴国,科学技术,发展经济,C
1016,（）是最根本的党规党法，各级党组织和每个党员都要按党章办事。,宪法,各种法律,党章,人民代表大会制度,C
1017,（）是马列主义的精髓，是毛泽东思想的精髓，也是邓小平理论的精髓。,实事求是,解放思想,本本主义,阶级斗争,A
1018,《论十大关系》形成于（  ）年,一九五六,一九五七,一九五八,一九五九,A
1019,《论十大关系》以（）国为借鉴对象,日本,苏联,美国,英国,B
1020,《论十大关系》确定的基本方针是（）,以苏为鉴,努力把党内党外、国内国外的一切积极的因素，直接的、间接的积极因素全部调动起来,以经济建设为中心,一个中心，两个基本点,B
1021,判断人们的言论和行动是非的六条标准中最重要的一条（）是,经济发展,社会进步,人民生活水平的提高,有利于巩固共产党的领导，而不是摆脱或者削弱这种领导,D
1022,毛泽东的（    ），初步总结了我国社会主义建设的经验，明确提出了以苏为鉴，独立自主地探索适合中国情况的社会主义建设道路。,《湖南农民运动考察报告》,《矛盾论》,《新民主主义论》,《论十大关系》,D
1023,中国特色社会主义建设道路的探索始于（    ）。,毛泽东,邓小平,江泽民,胡锦涛,A
1024,毛泽东提出的实现马克思主义与中国实际的“第二次结合”，就是要（    ）。,走出中国自己的社会主义革命道路,走出中国自己的社会主义建设道路,延续“第一次结合”的内容,弥补“第一次结合”的错误,B
1025,中国共产党关于社会主义建设道路的探索是（    ）开始的。,从探索了工业化的道路后,在对苏联模式弊端已有认识的背景下,从对社会主义社会基本矛盾的认识基础上,从中国社会主义改造道路的实践中,B
1026,体现社会主义建设道路初步探索的理论成果的重要著作是（    ）。,《中国社会各阶级的分析》和《湖南农民运动考察报告》,《实践论》和《矛盾论》,《新民主主义论》和《论人民民主专政》,《论十大关系》和《关于正确处理人民内部矛盾的问题》,D
1027,毛泽东的（    ）一文标志着党探索中国社会主义建设道路的良好开端。,《实践论》,《新民主主义论》,《论人民民主专政》,《论十大关系》,D
1028,最早专门系统论述社会主义社会的矛盾问题，并形成了社会主义社会矛盾的学说的无产阶级革命导师是（    ）。,马克思,列宁,斯大林,毛泽东,D
1029,1957年毛泽东所作的系统论述社会主义社会矛盾的理论的报告是（    ）。,《实践论》,《矛盾论》,《论十大关系》,《关于正确处理人民内部矛盾的问题》,D
1030,中国共产党的第八次全国代表大会是在（    ）年召开的。,一九四五,一九四九,一九五六,一九六六,C
1031,1956年召开的党的代表大会是党的（    ）。,七大,八大,九大,十大,B
1032,敌我矛盾和人民内部矛盾这两类性质完全不同的矛盾，是社会主义社会的矛盾在（    ）上的反映。,政治,经济,文化,生态,A
1033,在社会主义社会，关于两类不同性质的矛盾的观点，正确的是（    ）。,敌我矛盾居于主导地位,人民内部矛盾居于主导地位,敌我矛盾和人民内部矛盾都居于主导地位,敌我矛盾和人民内部矛盾都不居于主导地位,B
1034,毛泽东指出，解决人民内部矛盾的总方针是（    ）。,民主的方法,“团结—批评—团结”的方法,“百花齐放、百家争鸣”的方法,“长期共存、互相监督”的方法,A
1035,根据《关于正确处理人民内部矛盾的问题》的分析，对于政治思想领域的人民内部矛盾，解决的具体方针是（    ）。,“团结—批评—团结”,“批评—团结—批评”,“团结—批评—批评”,“批评—团结—团结”,A
1036,根据《关于正确处理人民内部矛盾的问题》的分析，对于物质利益、分配方面的人民内部矛盾，解决的具体方针是（    ）。,“团结—批评—团结”,统筹兼顾、适当安排,“百花齐放、百家争鸣”,“长期共存、互相监督”,B
